Dataset,Pruning_Type,Threads,CodeGen_Time,Execution_Time,Result_Count,Throughput,SearchSpace_Reduction
wiki,None,1,,0.98649,4514137,4.57596e+06,0.0
wiki,Static,1,,0.979921,4514137,4.60664e+06,1.00
wiki,Eager,1,,0.979549,4514137,4.60838e+06,1.00
wiki,Online,1,,1.24276,4514137,3.63236e+06,-25.00
wiki,CostModel,1,,1.16084,4514137,3.88869e+06,-17.00
wiki,None,2,,1.28605,4486866,3.48887e+06,0.0
wiki,Static,2,,1.23363,4479189,3.63089e+06,5.00
wiki,Eager,2,,0.81708,4480340,5.48336e+06,37.00
wiki,Online,2,,0.820799,4480748,5.45901e+06,37.00
wiki,CostModel,2,,1.23447,4482750,3.63132e+06,5.00
wiki,None,4,,0.760544,4346086,5.71445e+06,0.0
wiki,Static,4,,1.17604,4355901,3.70388e+06,-54.00
wiki,Eager,4,,1.39822,4473550,3.19946e+06,-83.00
wiki,Online,4,,0.684046,4362391,6.37734e+06,11.00
wiki,CostModel,4,,0.701656,4353835,6.20508e+06,8.00
wiki,None,6,,0.62938,4274678,6.79189e+06,0.0
wiki,Static,6,,0.548426,4139660,7.54826e+06,13.00
wiki,Eager,6,,0.791913,4362671,5.50903e+06,-25.00
wiki,Online,6,,0.673418,4242106,6.29936e+06,-6.00
wiki,CostModel,6,,0.764079,4312382,5.6439e+06,-21.00
wiki,None,8,,0.539312,4160125,7.71377e+06,0.0
wiki,Static,8,,0.557688,4191085,7.5151e+06,-3.00
wiki,Eager,8,,0.622543,4125809,6.62735e+06,-15.00
wiki,Online,8,,0.992395,4353674,4.38704e+06,-84.00
wiki,CostModel,8,,0.568734,4261773,7.49344e+06,-5.00
wiki,None,12,,0.360025,3887317,1.07974e+07,0.0
wiki,Static,12,,0.375088,3972430,1.05907e+07,-4.00
wiki,Eager,12,,0.368875,3938474,1.0677e+07,-2.00
wiki,Online,12,,0.380279,3913443,1.0291e+07,-5.00
wiki,CostModel,12,,0.365524,3951124,1.08095e+07,-1.00
wiki,None,16,,0.354243,3967822,1.12009e+07,0.0
wiki,Static,16,,0.356432,3909517,1.09685e+07,0
wiki,Eager,16,,0.359081,3897054,1.08528e+07,-1.00
wiki,Online,16,,0.361394,3935752,1.08905e+07,-2.00
wiki,CostModel,16,,0.354428,3893223,1.09845e+07,0
enron,None,1,,0.973349,5809356,5.96842e+06,0.0
enron,Static,1,,0.963647,5809356,6.02851e+06,1.00
enron,Eager,1,,0.96335,5809356,6.03037e+06,2.00
enron,Online,1,,0.962839,5809356,6.03357e+06,2.00
enron,CostModel,1,,0.967893,5809356,6.00207e+06,1.00
enron,None,2,,0.884329,5808857,6.56866e+06,0.0
enron,Static,2,,0.897796,5808821,6.47009e+06,-1.00
enron,Eager,2,,0.886076,5808915,6.55577e+06,0
enron,Online,2,,0.886864,5809009,6.55005e+06,0
enron,CostModel,2,,0.890592,5808776,6.52238e+06,0
enron,None,4,,0.769864,5789962,7.52076e+06,0.0
enron,Static,4,,0.76869,5789523,7.53167e+06,1.00
enron,Eager,4,,0.767725,5789175,7.54069e+06,1.00
enron,Online,4,,0.766589,5790822,7.55401e+06,1.00
enron,CostModel,4,,0.771159,5791591,7.51024e+06,0
enron,None,6,,0.641681,5749521,8.96009e+06,0.0
enron,Static,6,,0.63384,5737197,9.05149e+06,2.00
enron,Eager,6,,0.638034,5751808,9.0149e+06,1.00
enron,Online,6,,0.641056,5752762,8.97389e+06,1.00
enron,CostModel,6,,0.637665,5752769,9.02161e+06,1.00
enron,None,8,,0.516154,5677800,1.10002e+07,0.0
enron,Static,8,,0.513721,5680919,1.10584e+07,1.00
enron,Eager,8,,0.516451,5682185,1.10024e+07,0
enron,Online,8,,0.514655,5684083,1.10445e+07,1.00
enron,CostModel,8,,0.516157,5679058,1.10026e+07,0
enron,None,12,,0.396249,5552875,1.40136e+07,0.0
enron,Static,12,,0.390512,5550669,1.42138e+07,2.00
enron,Eager,12,,0.402557,5569865,1.38362e+07,-1.00
enron,Online,12,,0.396608,5582081,1.40746e+07,0
enron,CostModel,12,,0.397815,5566559,1.39928e+07,0
enron,None,16,,0.339105,5445397,1.60581e+07,0.0
enron,Static,16,,0.327057,5427321,1.65944e+07,4.00
enron,Eager,16,,0.338324,5444875,1.60937e+07,1.00
enron,Online,16,,0.34404,5523198,1.60539e+07,-1.00
enron,CostModel,16,,0.335601,5430300,1.61808e+07,2.00
