Dataset,PatternCategory,QueryFile,QueryVertices,QueryEdges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_Peak_MB,Status,Notes
dblp,small_dense_4,query_dense_4_16.graph,4,4,4,0.0140596,1.42538,96615211,20016.0,SUCCESS,
dblp,small_dense_4,query_dense_4_17.graph,4,3,1,0.013883,6.22356,252447350,18544.0,SUCCESS,
dblp,small_dense_4,query_dense_4_17.graph,4,3,2,0.0146489,3.1102,252447350,18704.0,SUCCESS,
dblp,small_dense_4,query_dense_4_17.graph,4,3,4,0.0160961,1.55979,252447350,19072.0,SUCCESS,
dblp,small_dense_4,query_dense_4_18.graph,4,6,1,0.0168885,1.17439,16713192,18576.0,SUCCESS,
dblp,small_dense_4,query_dense_4_18.graph,4,6,2,0.0120915,0.548699,16713192,18880.0,SUCCESS,
dblp,small_dense_4,query_dense_4_18.graph,4,6,4,0.00951783,0.324547,16713192,19056.0,SUCCESS,
dblp,small_dense_4,query_dense_4_19.graph,4,6,1,0.0128612,1.26141,16713192,18640.0,SUCCESS,
dblp,small_dense_4,query_dense_4_19.graph,4,6,2,0.0160186,0.563961,16713192,18944.0,SUCCESS,
dblp,small_dense_4,query_dense_4_19.graph,4,6,4,0.010628,0.272542,16713192,19104.0,SUCCESS,
dblp,small_dense_4,query_dense_4_20.graph,4,5,1,0.0106097,3.53033,4764685,18928.0,SUCCESS,
dblp,small_dense_4,query_dense_4_20.graph,4,5,2,0.0146847,1.95679,4764685,18896.0,SUCCESS,
dblp,small_dense_4,query_dense_4_20.graph,4,5,4,0.0111244,0.878616,4764685,19744.0,SUCCESS,
dblp,small_dense_4,query_dense_4_21.graph,4,6,1,0.0146813,1.10238,16713192,18608.0,SUCCESS,
dblp,small_dense_4,query_dense_4_21.graph,4,6,2,0.0118596,0.539584,16713192,18832.0,SUCCESS,
dblp,small_dense_4,query_dense_4_21.graph,4,6,4,0.0111089,0.272998,16713192,19072.0,SUCCESS,
dblp,small_dense_4,query_dense_4_22.graph,4,6,1,0.0109812,1.10575,16713192,18624.0,SUCCESS,
dblp,small_dense_4,query_dense_4_22.graph,4,6,2,0.0149341,0.543685,16713192,18928.0,SUCCESS,
dblp,small_dense_4,query_dense_4_22.graph,4,6,4,0.0167576,0.310538,16713192,19008.0,SUCCESS,
dblp,small_dense_4,query_dense_4_23.graph,4,3,1,0.0113096,6.53023,252447350,18560.0,SUCCESS,
dblp,small_dense_4,query_dense_4_23.graph,4,3,2,0.0146118,3.17019,252447350,18736.0,SUCCESS,
dblp,small_dense_4,query_dense_4_23.graph,4,3,4,0.0166721,1.55228,252447350,18928.0,SUCCESS,
dblp,small_dense_4,query_dense_4_24.graph,4,6,1,0.0160606,1.14851,16713192,18656.0,SUCCESS,
dblp,small_dense_4,query_dense_4_24.graph,4,6,2,0.0161858,0.57379,16713192,18784.0,SUCCESS,
dblp,small_dense_4,query_dense_4_24.graph,4,6,4,0.0102597,0.411299,16713192,18992.0,SUCCESS,
dblp,small_dense_4,query_dense_4_25.graph,4,6,1,0.0125399,1.13029,16713192,18608.0,SUCCESS,
dblp,small_dense_4,query_dense_4_25.graph,4,6,2,0.00650238,0.562203,16713192,18768.0,SUCCESS,
dblp,small_dense_4,query_dense_4_25.graph,4,6,4,0.023154,0.357192,16713192,18992.0,SUCCESS,
dblp,small_dense_4,query_dense_4_26.graph,4,6,1,0.0154102,1.11405,16713192,18640.0,SUCCESS,
dblp,small_dense_4,query_dense_4_26.graph,4,6,2,0.0143003,0.605294,16713192,18816.0,SUCCESS,
dblp,small_dense_4,query_dense_4_26.graph,4,6,4,0.0135432,0.274648,16713192,19168.0,SUCCESS,
dblp,small_dense_4,query_dense_4_27.graph,4,6,1,0.0140049,1.13152,16713192,18624.0,SUCCESS,
dblp,small_dense_4,query_dense_4_27.graph,4,6,2,0.0208019,0.569795,16713192,18784.0,SUCCESS,
dblp,small_dense_4,query_dense_4_27.graph,4,6,4,0.0177217,0.2744,16713192,19072.0,SUCCESS,
dblp,small_dense_4,query_dense_4_28.graph,4,3,1,0.0171507,6.24276,252447350,18544.0,SUCCESS,
dblp,small_dense_4,query_dense_4_28.graph,4,3,2,0.0111307,3.07361,252447350,18960.0,SUCCESS,
dblp,small_dense_4,query_dense_4_28.graph,4,3,4,0.0146372,1.58658,252447350,18880.0,SUCCESS,
dblp,small_dense_4,query_dense_4_29.graph,4,4,1,0.0157549,5.75607,96615211,18912.0,SUCCESS,
dblp,small_dense_4,query_dense_4_29.graph,4,4,2,0.017529,3.36899,96615211,19136.0,SUCCESS,
dblp,small_dense_4,query_dense_4_29.graph,4,4,4,0.0139822,2.04386,96615211,20112.0,SUCCESS,
dblp,small_dense_4,query_dense_4_30.graph,4,6,1,0.0120996,1.10508,16713192,18800.0,SUCCESS,
dblp,small_dense_4,query_dense_4_30.graph,4,6,2,0.0174983,0.5463,16713192,18896.0,SUCCESS,
dblp,small_dense_4,query_dense_4_30.graph,4,6,4,0.0112411,0.29995,16713192,19040.0,SUCCESS,
dblp,small_dense_4,query_dense_4_31.graph,4,6,1,0.0113212,1.13093,16713192,18752.0,SUCCESS,
dblp,small_dense_4,query_dense_4_31.graph,4,6,2,0.0132612,0.556902,16713192,18864.0,SUCCESS,
dblp,small_dense_4,query_dense_4_31.graph,4,6,4,0.0100464,0.385161,16713192,19104.0,SUCCESS,
dblp,small_dense_4,query_dense_4_32.graph,4,4,1,0.0166986,6.55657,96615211,19056.0,SUCCESS,
dblp,small_dense_4,query_dense_4_32.graph,4,4,2,0.0148655,2.94796,96615211,19168.0,SUCCESS,
dblp,small_dense_4,query_dense_4_32.graph,4,4,4,0.0117488,1.43439,96615211,20176.0,SUCCESS,
dblp,small_dense_4,query_dense_4_33.graph,4,3,1,0.0132126,6.23275,252447350,18528.0,SUCCESS,
dblp,small_dense_4,query_dense_4_33.graph,4,3,2,0.0105982,3.08693,252447350,18784.0,SUCCESS,
dblp,small_dense_4,query_dense_4_33.graph,4,3,4,0.0121631,1.74765,252447350,18992.0,SUCCESS,
dblp,small_dense_4,query_dense_4_34.graph,4,6,1,0.0155628,1.13041,16713192,18800.0,SUCCESS,
dblp,small_dense_4,query_dense_4_34.graph,4,6,2,0.0156017,0.548586,16713192,18896.0,SUCCESS,
dblp,small_dense_4,query_dense_4_34.graph,4,6,4,0.0794785,0.614787,16713192,19088.0,SUCCESS,
dblp,small_dense_4,query_dense_4_35.graph,4,4,1,0.0132785,5.85156,96615211,19008.0,SUCCESS,
dblp,small_dense_4,query_dense_4_35.graph,4,4,2,0.0103795,2.98734,96615211,19056.0,SUCCESS,
dblp,small_dense_4,query_dense_4_35.graph,4,4,4,0.0105666,2.15319,96615211,20016.0,SUCCESS,
dblp,small_dense_4,query_dense_4_36.graph,4,6,1,0.0178242,1.09768,16713192,18800.0,SUCCESS,
dblp,small_dense_4,query_dense_4_36.graph,4,6,2,0.0122746,0.618168,16713192,18768.0,SUCCESS,
dblp,small_dense_4,query_dense_4_36.graph,4,6,4,0.0123789,0.300031,16713192,19040.0,SUCCESS,
dblp,small_dense_4,query_dense_4_37.graph,4,6,1,0.0111219,1.11377,16713192,18704.0,SUCCESS,
