EXP_ID,NUMBER_THREAD,RESULT,RUN_TIME,THREAD_MEAN_TIME,THREAD_MIN_TIME,THREAD_MAX_TIME,THREAD_TIME_STD,VERTEX_ALLOCATED,VERTEX_ALLOCATED_PER_THREAD,MINIGRAPH_ALLOCATED,MINIGRAPH_ALLOCATED_PER_THREAD
1,8,608389,0.0200499,-6.0041e-05,-6.0041e-05,-6.0041e-05,6.77626e-21,0.00 Bytes,0.00 Bytes,0.00 Bytes,0.00 Bytes
1,8,608389,0.0183348,-7.9542e-05,-7.9542e-05,-7.9542e-05,0,0.00 Bytes,0.00 Bytes,0.00 Bytes,0.00 Bytes
