Dataset,Pruning_Type,Threads,CodeGen_Time,Execution_Time,Result_Count,Throughput,SearchSpace_Reduction
wiki,None,1,,0.248265,4514137,1.81828e+07,0.0
wiki,Static,1,,0.274588,4514137,1.64397e+07,-10.00
wiki,Eager,1,,0.308228,4514137,1.46454e+07,-24.00
wiki,Online,1,,0.351669,4514137,1.28363e+07,-41.00
wiki,CostModel,1,,0.34406,4514137,1.31202e+07,-38.00
wiki,None,2,,0.319379,4514137,1.41341e+07,0.0
wiki,Static,2,,0.342246,4514137,1.31898e+07,-7.00
wiki,Eager,2,,0.325583,4514137,1.38648e+07,-1.00
wiki,Online,2,,0.323306,4514137,1.39624e+07,-1.00
wiki,CostModel,2,,0.346279,4514137,1.30361e+07,-8.00
wiki,None,4,,0.314359,4514137,1.43598e+07,0.0
wiki,Static,4,,0.332382,4514137,1.35812e+07,-5.00
wiki,Eager,4,,0.334368,4514137,1.35005e+07,-6.00
wiki,Online,4,,0.313969,4514137,1.43776e+07,1.00
wiki,CostModel,4,,0.423547,4514137,1.06579e+07,-34.00
wiki,None,6,,0.445518,4514137,1.01323e+07,0.0
wiki,Static,6,,0.431283,4514137,1.04668e+07,4.00
wiki,Eager,6,,0.403841,4514137,1.1178e+07,10.00
wiki,Online,6,,0.427501,4514137,1.05594e+07,5.00
wiki,CostModel,6,,0.409795,4514137,1.10156e+07,9.00
wiki,None,8,,0.402986,4514137,1.12017e+07,0.0
wiki,Static,8,,0.337765,4514137,1.33647e+07,17.00
wiki,Eager,8,,0.321298,4514137,1.40497e+07,21.00
wiki,Online,8,,0.317432,4514137,1.42208e+07,22.00
wiki,CostModel,8,,0.301631,4514137,1.49657e+07,26.00
wiki,None,12,,0.369447,4514137,1.22186e+07,0.0
wiki,Static,12,,0.310082,4514137,1.45579e+07,17.00
wiki,Eager,12,,0.297531,4514137,1.5172e+07,20.00
wiki,Online,12,,0.32865,4514137,1.37354e+07,12.00
wiki,CostModel,12,,0.303888,4514137,1.48546e+07,18.00
wiki,None,16,,0.308492,4514137,1.46329e+07,0.0
wiki,Static,16,,0.297562,4514137,1.51704e+07,4.00
wiki,Eager,16,,0.278112,4514137,1.62313e+07,10.00
wiki,Online,16,,0.290305,4514137,1.55496e+07,6.00
wiki,CostModel,16,,0.274389,4514137,1.64516e+07,12.00
enron,None,1,,0.255327,5809356,2.27526e+07,0.0
enron,Static,1,,0.276727,5809356,2.09931e+07,-8.00
enron,Eager,1,,0.270333,5809356,2.14896e+07,-5.00
enron,Online,1,,0.248492,5809356,2.33785e+07,3.00
enron,CostModel,1,,0.26146,5809356,2.22189e+07,-2.00
enron,None,2,,0.266631,5809356,2.1788e+07,0.0
enron,Static,2,,0.26919,5809356,2.15809e+07,0
enron,Eager,2,,0.274008,5809356,2.12014e+07,-2.00
enron,Online,2,,0.260125,5809356,2.23329e+07,3.00
enron,CostModel,2,,0.258843,5809356,2.24436e+07,3.00
enron,None,4,,0.257772,5809356,2.25368e+07,0.0
enron,Static,4,,0.262511,5809356,2.213e+07,-1.00
enron,Eager,4,,0.274013,5809356,2.1201e+07,-6.00
enron,Online,4,,0.297846,5809356,1.95046e+07,-15.00
enron,CostModel,4,,0.257409,5809356,2.25685e+07,1.00
enron,None,6,,0.27308,5809356,2.12735e+07,0.0
enron,Static,6,,0.264427,5809356,2.19696e+07,4.00
enron,Eager,6,,0.252448,5809356,2.30121e+07,8.00
enron,Online,6,,0.260454,5809356,2.23047e+07,5.00
enron,CostModel,6,,0.266318,5809356,2.18136e+07,3.00
enron,None,8,,0.246437,5809356,2.35734e+07,0.0
enron,Static,8,,0.259519,5809356,2.23851e+07,-5.00
enron,Eager,8,,0.262074,5809356,2.21669e+07,-6.00
enron,Online,8,,0.273158,5809356,2.12674e+07,-10.00
enron,CostModel,8,,0.283823,5809356,2.04682e+07,-15.00
enron,None,12,,0.275231,5809356,2.11072e+07,0.0
enron,Static,12,,0.259526,5809356,2.23844e+07,6.00
enron,Eager,12,,0.27486,5809356,2.11357e+07,1.00
enron,Online,12,,0.245061,5809356,2.37058e+07,11.00
enron,CostModel,12,,0.262094,5809356,2.21652e+07,5.00
enron,None,16,,0.262499,5809356,2.2131e+07,0.0
enron,Static,16,,0.263953,5809356,2.20091e+07,0
enron,Eager,16,,0.27118,5809356,2.14225e+07,-3.00
enron,Online,16,,0.257073,5809356,2.2598e+07,3.00
enron,CostModel,16,,0.258131,5809356,2.25055e+07,2.00
