Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency,Baseline_s,Notes
wiki,7K_nodes_100K_edges,triangle,3,1,0.00439512,0.105799,608389,5.75041e+06,3792.0,1.000,100.00,0.105799,baseline
wiki,7K_nodes_100K_edges,triangle,3,2,0.001983,0.0606291,608389,1.00346e+07,3872.0,1.7450,87.200,0.105799,calculated
wiki,7K_nodes_100K_edges,triangle,3,4,0.00173454,0.0338591,608389,1.79683e+07,3920.0,3.1246,78.100,0.105799,calculated
wiki,7K_nodes_100K_edges,triangle,3,8,0.0018675,0.026697,608389,2.27887e+07,4048.0,3.9629,49.500,0.105799,calculated
wiki,7K_nodes_100K_edges,triangle,3,16,0.00188854,0.0206525,608389,2.94583e+07,4368.0,5.1228,32.000,0.105799,calculated
wiki,7K_nodes_100K_edges,4path,4,1,0.00122871,11.3939,32230662,2.82876e+06,3776.0,1.000,100.00,11.3939,baseline
wiki,7K_nodes_100K_edges,4path,4,2,0.00470013,5.66479,32230662,5.68965e+06,4064.0,2.0113,100.500,11.3939,calculated
wiki,7K_nodes_100K_edges,4path,4,4,0.00230854,3.22253,32230662,1.00017e+07,4208.0,3.5357,88.300,11.3939,calculated
wiki,7K_nodes_100K_edges,4path,4,8,0.00105492,2.67033,32230662,1.20699e+07,4592.0,4.2668,53.300,11.3939,calculated
wiki,7K_nodes_100K_edges,4path,4,16,0.00112467,2.99489,32230662,1.07619e+07,5168.0,3.8044,23.700,11.3939,calculated
wiki,7K_nodes_100K_edges,4cycle,4,1,0.00235158,1.36173,6233709,4.5778e+06,4912.0,1.000,100.00,1.36173,baseline
wiki,7K_nodes_100K_edges,4cycle,4,2,0.00156017,1.99405,6233709,3.12615e+06,5376.0,.6828,34.100,1.36173,calculated
wiki,7K_nodes_100K_edges,4cycle,4,4,0.00168604,0.507587,6233709,1.22811e+07,6400.0,2.6827,67.000,1.36173,calculated
wiki,7K_nodes_100K_edges,4cycle,4,8,0.00167471,0.390606,6233709,1.59591e+07,8256.0,3.4861,43.500,1.36173,calculated
wiki,7K_nodes_100K_edges,4cycle,4,16,0.00149721,1.15253,6233709,5.40873e+06,10560.0,1.1815,7.300,1.36173,calculated
wiki,7K_nodes_100K_edges,4star,4,1,0.00161675,18.9681,1127174796,5.94248e+07,4240.0,1.000,100.00,18.9681,baseline
wiki,7K_nodes_100K_edges,4star,4,2,0.00554392,15.6158,1127174796,7.21819e+07,4800.0,1.2146,60.700,18.9681,calculated
wiki,7K_nodes_100K_edges,4star,4,4,0.00489367,9.37354,1127174796,1.20251e+08,5728.0,2.0235,50.500,18.9681,calculated
wiki,7K_nodes_100K_edges,4star,4,8,0.0429219,7.10814,1127174796,1.58575e+08,6240.0,2.6685,33.300,18.9681,calculated
wiki,7K_nodes_100K_edges,4star,4,16,0.00296475,6.57595,1127174796,1.71409e+08,8240.0,2.8844,18.000,18.9681,calculated
wiki,7K_nodes_100K_edges,4clique,4,1,0.00346171,0.445777,2077903,4.66131e+06,4208.0,1.000,100.00,0.445777,baseline
wiki,7K_nodes_100K_edges,4clique,4,2,0.00151817,0.20891,2077903,9.94638e+06,4384.0,2.1338,106.600,0.445777,calculated
wiki,7K_nodes_100K_edges,4clique,4,4,0.00136354,0.115156,2077903,1.80442e+07,4976.0,3.8710,96.700,0.445777,calculated
wiki,7K_nodes_100K_edges,4clique,4,8,0.00105425,0.0870682,2077903,2.38652e+07,5568.0,5.1198,63.900,0.445777,calculated
wiki,7K_nodes_100K_edges,4clique,4,16,0.00334283,0.0854016,2077903,2.4331e+07,6256.0,5.2197,32.600,0.445777,calculated
wiki,7K_nodes_100K_edges,5clique,5,1,0.00134317,1.47421,4514137,3.06208e+06,4144.0,1.000,100.00,1.47421,baseline
wiki,7K_nodes_100K_edges,5clique,5,2,0.00149671,2.25448,4514137,2.0023e+06,4368.0,.6539,32.600,1.47421,calculated
wiki,7K_nodes_100K_edges,5clique,5,4,0.00687175,1.67664,4514137,2.69238e+06,4784.0,.8792,21.900,1.47421,calculated
wiki,7K_nodes_100K_edges,5clique,5,8,0.00299033,0.614376,4514137,7.34751e+06,5664.0,2.3995,29.900,1.47421,calculated
wiki,7K_nodes_100K_edges,5clique,5,16,FAILED,FAILED,0,0,0,FAILED,FAILED,1.47421,test_failed
