Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency,Baseline_s,Notes
wiki,7K_nodes_100K_edges,triangle,3,1,0.00348208,0.172572,4514137,2.6158e+07,5920.0,1.000,100.00,0.172572,baseline
wiki,7K_nodes_100K_edges,triangle,3,2,0.000523709,0.194207,4514137,2.32439e+07,5984.0,.8885,44.400,0.172572,calculated
wiki,7K_nodes_100K_edges,triangle,3,4,0.000538708,0.197041,4514137,2.29097e+07,5968.0,.8758,21.800,0.172572,calculated
wiki,7K_nodes_100K_edges,triangle,3,8,0.000554125,0.166227,4514137,2.71564e+07,6048.0,1.0381,12.900,0.172572,calculated
wiki,7K_nodes_100K_edges,triangle,3,16,0.000527666,0.167271,4514137,2.6987e+07,5968.0,1.0316,6.400,0.172572,calculated
wiki,7K_nodes_100K_edges,4path,4,1,0.000542375,0.168548,4514137,2.67825e+07,6160.0,1.000,100.00,0.168548,baseline
wiki,7K_nodes_100K_edges,4path,4,2,0.000518958,0.169543,4514137,2.66253e+07,6016.0,.9941,49.700,0.168548,calculated
wiki,7K_nodes_100K_edges,4path,4,4,0.000556833,0.169301,4514137,2.66634e+07,5984.0,.9955,24.800,0.168548,calculated
wiki,7K_nodes_100K_edges,4path,4,8,0.00056275,0.166423,4514137,2.71244e+07,6048.0,1.0127,12.600,0.168548,calculated
wiki,7K_nodes_100K_edges,4path,4,16,0.000550625,0.259956,4514137,1.7365e+07,5920.0,.6483,4.000,0.168548,calculated
wiki,7K_nodes_100K_edges,4cycle,4,1,0.000536375,0.188798,4514137,2.39099e+07,6000.0,1.000,100.00,0.188798,baseline
wiki,7K_nodes_100K_edges,4cycle,4,2,0.000528,0.193094,4514137,2.33779e+07,5968.0,.9777,48.800,0.188798,calculated
wiki,7K_nodes_100K_edges,4cycle,4,4,0.000555125,0.191307,4514137,2.35963e+07,6016.0,.9868,24.600,0.188798,calculated
wiki,7K_nodes_100K_edges,4cycle,4,8,0.000547042,0.188908,4514137,2.38959e+07,5952.0,.9994,12.400,0.188798,calculated
wiki,7K_nodes_100K_edges,4cycle,4,16,0.00053475,0.197066,4514137,2.29067e+07,5824.0,.9580,5.900,0.188798,calculated
wiki,7K_nodes_100K_edges,4star,4,1,0.000535333,0.238745,4514137,1.89078e+07,5952.0,1.000,100.00,0.238745,baseline
wiki,7K_nodes_100K_edges,4star,4,2,0.000558958,0.198304,4514137,2.27637e+07,6016.0,1.2039,60.100,0.238745,calculated
wiki,7K_nodes_100K_edges,4star,4,4,0.000559459,0.192339,4514137,2.34696e+07,6112.0,1.2412,31.000,0.238745,calculated
wiki,7K_nodes_100K_edges,4star,4,8,0.00052625,0.170623,4514137,2.64569e+07,6016.0,1.3992,17.400,0.238745,calculated
wiki,7K_nodes_100K_edges,4star,4,16,0.000549375,0.161041,4514137,2.8031e+07,6032.0,1.4825,9.200,0.238745,calculated
wiki,7K_nodes_100K_edges,4clique,4,1,0.000527417,0.160436,4514137,2.81367e+07,5984.0,1.000,100.00,0.160436,baseline
wiki,7K_nodes_100K_edges,4clique,4,2,0.000518333,0.167062,4514137,2.70207e+07,6080.0,.9603,48.000,0.160436,calculated
