Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency,Baseline_s,Notes
wiki,7K_nodes_100K_edges,triangle,3,1,0.00109567,0.0260816,608389,2.33264e+07,4000.0,1.000,100.00,0.0260816,baseline
wiki,7K_nodes_100K_edges,triangle,3,2,0.00105096,0.0257276,608389,2.36473e+07,4000.0,1.0137,50.600,0.0260816,calculated
wiki,7K_nodes_100K_edges,triangle,3,4,0.00113733,0.0268443,608389,2.26636e+07,4000.0,.9715,24.200,0.0260816,calculated
wiki,7K_nodes_100K_edges,triangle,3,8,0.00106687,0.0269161,608389,2.26031e+07,4000.0,.9689,12.100,0.0260816,calculated
wiki,7K_nodes_100K_edges,triangle,3,16,0.00105296,0.0273305,608389,2.22604e+07,4000.0,.9543,5.900,0.0260816,calculated
wiki,7K_nodes_100K_edges,4path,4,1,0.000873459,2.22972,32230662,1.4455e+07,4656.0,1.000,100.00,2.22972,baseline
wiki,7K_nodes_100K_edges,4path,4,2,0.00108942,2.42051,32230662,1.33157e+07,4400.0,.9211,46.000,2.22972,calculated
wiki,7K_nodes_100K_edges,4path,4,4,0.00236296,4.89869,32230662,6.57945e+06,4384.0,.4551,11.300,2.22972,calculated
wiki,7K_nodes_100K_edges,4path,4,8,0.000774208,4.03005,32230662,7.99757e+06,4432.0,.5532,6.900,2.22972,calculated
wiki,7K_nodes_100K_edges,4path,4,16,0.000982917,3.86458,32230662,8.34001e+06,4448.0,.5769,3.600,2.22972,calculated
wiki,7K_nodes_100K_edges,4cycle,4,1,0.000982166,0.984673,6233709,6.33074e+06,8416.0,1.000,100.00,0.984673,baseline
wiki,7K_nodes_100K_edges,4cycle,4,2,0.002705,0.760523,6233709,8.1966e+06,8352.0,1.2947,64.700,0.984673,calculated
wiki,7K_nodes_100K_edges,4cycle,4,4,0.00101325,0.714124,6233709,8.72917e+06,8048.0,1.3788,34.400,0.984673,calculated
wiki,7K_nodes_100K_edges,4cycle,4,8,0.000999209,0.572765,6233709,1.08835e+07,8256.0,1.7191,21.400,0.984673,calculated
wiki,7K_nodes_100K_edges,4cycle,4,16,0.00289604,0.39583,6233709,1.57485e+07,8256.0,2.4876,15.500,0.984673,calculated
wiki,7K_nodes_100K_edges,4star,4,1,0.00100529,6.95205,1127174796,1.62136e+08,6512.0,1.000,100.00,6.95205,baseline
wiki,7K_nodes_100K_edges,4star,4,2,0.00108442,6.32848,1127174796,1.78111e+08,6544.0,1.0985,54.900,6.95205,calculated
wiki,7K_nodes_100K_edges,4star,4,4,0.000981792,4.86001,1127174796,2.31928e+08,6560.0,1.4304,35.700,6.95205,calculated
wiki,7K_nodes_100K_edges,4star,4,8,0.00106525,4.42657,1127174796,2.54639e+08,6640.0,1.5705,19.600,6.95205,calculated
wiki,7K_nodes_100K_edges,4star,4,16,0.00100742,5.24681,1127174796,2.1483e+08,6624.0,1.3250,8.200,6.95205,calculated
wiki,7K_nodes_100K_edges,4clique,4,1,0.00096125,0.0843696,2077903,2.46286e+07,5440.0,1.000,100.00,0.0843696,baseline
wiki,7K_nodes_100K_edges,4clique,4,2,0.0009855,0.0914941,2077903,2.27108e+07,5376.0,.9221,46.100,0.0843696,calculated
wiki,7K_nodes_100K_edges,4clique,4,4,0.00249713,0.0831905,2077903,2.49776e+07,5216.0,1.0141,25.300,0.0843696,calculated
wiki,7K_nodes_100K_edges,4clique,4,8,0.00101708,0.0827084,2077903,2.51232e+07,5488.0,1.0200,12.700,0.0843696,calculated
wiki,7K_nodes_100K_edges,4clique,4,16,0.00106579,0.0796073,2077903,2.61019e+07,5360.0,1.0598,6.600,0.0843696,calculated
wiki,7K_nodes_100K_edges,5clique,5,1,0.000865916,0.207444,4514137,2.17607e+07,5696.0,1.000,100.00,0.207444,baseline
wiki,7K_nodes_100K_edges,5clique,5,2,0.0010805,0.202083,4514137,2.23381e+07,5728.0,1.0265,51.300,0.207444,calculated
wiki,7K_nodes_100K_edges,5clique,5,4,0.000958125,0.198342,4514137,2.27594e+07,5664.0,1.0458,26.100,0.207444,calculated
wiki,7K_nodes_100K_edges,5clique,5,8,0.001033,0.216333,4514137,2.08666e+07,5744.0,.9589,11.900,0.207444,calculated
wiki,7K_nodes_100K_edges,5clique,5,16,0.00102296,0.200242,4514137,2.25434e+07,5680.0,1.0359,6.400,0.207444,calculated
wiki,7K_nodes_100K_edges,house,4,1,0.000526333,0.187297,4514137,2.41015e+07,5664.0,1.000,100.00,0.187297,baseline
wiki,7K_nodes_100K_edges,house,4,2,0.000546625,0.192288,4514137,2.34759e+07,5776.0,.9740,48.700,0.187297,calculated
