Dataset,Pattern_Type,Pattern_Name,Vertices,Edges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_MB,Speedup,Efficiency,Status,Notes
dblp,GraphMini_Original,P1,4,N/A,1,0.0164709,0.609133,16713192,19.7,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P1,4,N/A,4,0.0166575,0.174071,16713192,19.7,3.49,87.2,SUCCESS,Original pattern
dblp,GraphMini_Original,P1,4,N/A,16,0.016517,0.0657578,16713192,20.0,9.26,57.8,SUCCESS,Original pattern
dblp,GraphMini_Original,P1,4,N/A,32,0.0168601,0.0500215,16713192,20.4,12.17,38.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P1,4,N/A,64,0.0170766,0.0438677,16713192,21.0,13.88,21.6,SUCCESS,Original pattern
dblp,GraphMini_Original,P2,5,N/A,1,0.0173405,4.00951,11466097,19.7,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P2,5,N/A,4,0.0170591,1.12653,11466097,19.9,3.55,88.7,SUCCESS,Original pattern
dblp,GraphMini_Original,P2,5,N/A,16,0.0171058,0.300637,11466097,20.0,13.33,83.3,SUCCESS,Original pattern
dblp,GraphMini_Original,P2,5,N/A,32,0.0169744,0.165629,11466097,20.4,24.20,75.6,SUCCESS,Original pattern
dblp,GraphMini_Original,P2,5,N/A,64,0.0164767,0.143351,11466097,21.3,27.96,43.6,SUCCESS,Original pattern
dblp,GraphMini_Original,P3,5,N/A,1,0.0170862,21.006,93821341,19.7,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P3,5,N/A,4,0.0164668,5.71714,93821341,19.9,3.67,91.7,SUCCESS,Original pattern
dblp,GraphMini_Original,P3,5,N/A,16,0.0172227,1.4968,93821341,19.9,14.03,87.6,SUCCESS,Original pattern
dblp,GraphMini_Original,P3,5,N/A,32,0.0171249,0.89772,93821341,20.5,23.39,73.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P3,5,N/A,64,0.0194569,0.746221,93821341,21.2,28.14,43.9,SUCCESS,Original pattern
dblp,GraphMini_Original,P4,5,N/A,1,0.0173817,4.50266,262663639,19.7,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P4,5,N/A,4,0.0191633,1.15727,262663639,19.7,3.89,97.2,SUCCESS,Original pattern
dblp,GraphMini_Original,P4,5,N/A,16,0.0194286,0.336407,262663639,20.0,13.38,83.6,SUCCESS,Original pattern
dblp,GraphMini_Original,P4,5,N/A,32,0.0191512,0.211961,262663639,20.6,21.24,66.3,SUCCESS,Original pattern
dblp,GraphMini_Original,P4,5,N/A,64,0.0196572,0.195521,262663639,21.3,23.02,35.9,SUCCESS,Original pattern
dblp,GraphMini_Original,P5,6,N/A,1,0.0200055,152.938,89217432,19.8,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P5,6,N/A,4,0.0200586,38.5879,89217432,19.9,3.96,99.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P5,6,N/A,16,0.0173336,9.91297,89217432,20.3,15.42,96.3,SUCCESS,Original pattern
dblp,GraphMini_Original,P5,6,N/A,32,0.0175526,5.18103,89217432,20.9,29.51,92.2,SUCCESS,Original pattern
dblp,GraphMini_Original,P5,6,N/A,64,0.0171377,4.03854,89217432,22.3,37.86,59.1,SUCCESS,Original pattern
dblp,GraphMini_Original,P6,6,N/A,1,0.0172374,5.61468,24076173,19.6,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P6,6,N/A,4,0.0167685,1.43854,24076173,19.8,3.90,97.5,SUCCESS,Original pattern
dblp,GraphMini_Original,P6,6,N/A,16,0.0171803,0.393585,24076173,20.2,14.26,89.1,SUCCESS,Original pattern
dblp,GraphMini_Original,P6,6,N/A,32,0.0176128,0.224271,24076173,21.2,25.03,78.2,SUCCESS,Original pattern
dblp,GraphMini_Original,P6,6,N/A,64,0.0161147,0.170735,24076173,22.8,32.88,51.3,SUCCESS,Original pattern
dblp,GraphMini_Original,P7,6,N/A,1,0.0196242,69.5078,30817361,19.6,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P7,6,N/A,4,0.0200201,17.6079,30817361,20.0,3.94,98.5,SUCCESS,Original pattern
