Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency,Baseline_s,Notes
wiki,7K_nodes_100K_edges,triangle,3,1,0.00509025,0.110704,608389,5.49564e+06,3824.0,1.000,100.00,0.110704,baseline
wiki,7K_nodes_100K_edges,triangle,3,2,0.00188358,0.0601899,608389,1.01078e+07,3872.0,1.8392,91.900,0.110704,calculated
wiki,7K_nodes_100K_edges,triangle,3,4,0.00189279,0.0349145,608389,1.74251e+07,3920.0,3.1707,79.200,0.110704,calculated
wiki,7K_nodes_100K_edges,triangle,3,8,0.00194196,0.0268194,608389,2.26847e+07,4048.0,4.1277,51.500,0.110704,calculated
wiki,7K_nodes_100K_edges,triangle,3,16,0.00164442,0.0189504,608389,3.21043e+07,4272.0,5.8417,36.500,0.110704,calculated
wiki,7K_nodes_100K_edges,4path,4,1,0.00157354,10.7722,32230662,2.99203e+06,3856.0,1.000,100.00,10.7722,baseline
wiki,7K_nodes_100K_edges,4path,4,2,0.00521171,6.52349,32230662,4.94071e+06,3904.0,1.6512,82.500,10.7722,calculated
wiki,7K_nodes_100K_edges,4path,4,4,0.00307725,7.1402,32230662,4.51397e+06,4192.0,1.5086,37.700,10.7722,calculated
wiki,7K_nodes_100K_edges,4path,4,8,0.00295292,3.56592,32230662,9.03852e+06,4400.0,3.0208,37.700,10.7722,calculated
wiki,7K_nodes_100K_edges,4path,4,16,0.00163546,5.86413,32230662,5.49624e+06,4944.0,1.8369,11.400,10.7722,calculated
wiki,7K_nodes_100K_edges,4cycle,4,1,0.00173325,1.90173,6233709,3.27791e+06,4992.0,1.000,100.00,1.90173,baseline
wiki,7K_nodes_100K_edges,4cycle,4,2,0.00188221,0.894138,6233709,6.97175e+06,5344.0,2.1268,106.300,1.90173,calculated
wiki,7K_nodes_100K_edges,4cycle,4,4,0.00182963,0.617329,6233709,1.00979e+07,6352.0,3.0805,77.000,1.90173,calculated
wiki,7K_nodes_100K_edges,4cycle,4,8,0.00174537,0.472374,6233709,1.31966e+07,8048.0,4.0258,50.300,1.90173,calculated
wiki,7K_nodes_100K_edges,4cycle,4,16,0.00137129,0.359085,6233709,1.736e+07,10352.0,5.2960,33.100,1.90173,calculated
wiki,7K_nodes_100K_edges,4star,4,1,0.001859,18.7128,1127174796,6.02355e+07,4304.0,1.000,100.00,18.7128,baseline
wiki,7K_nodes_100K_edges,4star,4,2,0.00781604,11.8295,1127174796,9.5285e+07,4832.0,1.5818,79.000,18.7128,calculated
wiki,7K_nodes_100K_edges,4star,4,4,0.00433829,7.65736,1127174796,1.47201e+08,5584.0,2.4437,61.000,18.7128,calculated
wiki,7K_nodes_100K_edges,4star,4,8,0.00910733,6.2338,1127174796,1.80817e+08,6592.0,3.0018,37.500,18.7128,calculated
wiki,7K_nodes_100K_edges,4star,4,16,0.00307179,6.29783,1127174796,1.78978e+08,8160.0,2.9713,18.500,18.7128,calculated
wiki,7K_nodes_100K_edges,4clique,4,1,0.00307938,0.36971,2077903,5.62036e+06,4224.0,1.000,100.00,0.36971,baseline
wiki,7K_nodes_100K_edges,4clique,4,2,0.0017145,0.19711,2077903,1.05418e+07,4416.0,1.8756,93.700,0.36971,calculated
wiki,7K_nodes_100K_edges,4clique,4,4,0.00171679,0.111355,2077903,1.86601e+07,4928.0,3.3201,83.000,0.36971,calculated
wiki,7K_nodes_100K_edges,4clique,4,8,0.00172154,0.0886772,2077903,2.34322e+07,5456.0,4.1691,52.100,0.36971,calculated
wiki,7K_nodes_100K_edges,4clique,4,16,0.00178813,0.0781079,2077903,2.6603e+07,6112.0,4.7333,29.500,0.36971,calculated
wiki,7K_nodes_100K_edges,5clique,5,1,0.00180196,0.97004,4514137,4.65356e+06,4272.0,1.000,100.00,0.97004,baseline
