Dataset,Pruning_Type,Threads,CodeGen_Time,Execution_Time,Result_Count,Throughput,SearchSpace_Reduction
wiki,None,1,,0.231471,4514137,1.9502e+07,0.0
wiki,Static,1,,0.213974,4514137,2.10966e+07,8.00
wiki,Eager,1,,0.228909,4514137,1.97203e+07,2.00
wiki,Online,1,,0.268187,4514137,1.68321e+07,-15.00
wiki,CostModel,1,,0.295371,4514137,1.52829e+07,-27.00
wiki,None,2,,0.297042,4514137,1.51969e+07,0.0
wiki,Static,2,,0.3208,4514137,1.40715e+07,-7.00
wiki,Eager,2,,0.271534,4514137,1.66246e+07,9.00
wiki,Online,2,,0.285904,4514137,1.5789e+07,4.00
wiki,CostModel,2,,0.298357,4514137,1.513e+07,0
wiki,None,4,,0.277476,4514137,1.62686e+07,0.0
wiki,Static,4,,0.28858,4514137,1.56426e+07,-4.00
wiki,Eager,4,,0.299329,4514137,1.50809e+07,-7.00
wiki,Online,4,,0.280425,4514137,1.60975e+07,-1.00
wiki,CostModel,4,,0.311332,4514137,1.44994e+07,-12.00
wiki,None,6,,0.273823,4514137,1.64856e+07,0.0
wiki,Static,6,,0.293444,4514137,1.53833e+07,-7.00
wiki,Eager,6,,0.278525,4514137,1.62073e+07,-1.00
wiki,Online,6,,0.276727,4514137,1.63126e+07,-1.00
wiki,CostModel,6,,0.283747,4514137,1.5909e+07,-3.00
wiki,None,8,,0.281435,4514137,1.60397e+07,0.0
wiki,Static,8,,0.281024,4514137,1.60632e+07,1.00
wiki,Eager,8,,0.279384,4514137,1.61575e+07,1.00
wiki,Online,8,,0.306344,4514137,1.47355e+07,-8.00
wiki,CostModel,8,,0.293027,4514137,1.54052e+07,-4.00
wiki,None,12,,0.278087,4514137,1.62328e+07,0.0
wiki,Static,12,,0.281382,4514137,1.60427e+07,-1.00
wiki,Eager,12,,0.283905,4514137,1.59002e+07,-2.00
wiki,Online,12,,0.279797,4514137,1.61336e+07,0
wiki,CostModel,12,,0.284097,4514137,1.58894e+07,-2.00
wiki,None,16,,0.289282,4514137,1.56046e+07,0.0
wiki,Static,16,,0.284991,4514137,1.58396e+07,2.00
wiki,Eager,16,,0.299546,4514137,1.50699e+07,-3.00
wiki,Online,16,,0.29914,4514137,1.50904e+07,-3.00
wiki,CostModel,16,,0.288258,4514137,1.566e+07,1.00
enron,None,1,,0.231467,5809356,2.5098e+07,0.0
enron,Static,1,,0.296533,5809356,1.95909e+07,-28.00
enron,Eager,1,,0.303339,5809356,1.91513e+07,-31.00
enron,Online,1,,0.278642,5809356,2.08488e+07,-20.00
enron,CostModel,1,,0.281127,5809356,2.06646e+07,-21.00
enron,None,2,,0.271027,5809356,2.14346e+07,0.0
enron,Static,2,,0.282525,5809356,2.05622e+07,-4.00
enron,Eager,2,,0.298811,5809356,1.94416e+07,-10.00
enron,Online,2,,0.277821,5809356,2.09104e+07,-2.00
enron,CostModel,2,,0.273964,5809356,2.12048e+07,-1.00
enron,None,4,,0.287064,5809356,2.02371e+07,0.0
enron,Static,4,,0.296803,5809356,1.95731e+07,-3.00
enron,Eager,4,,0.279586,5809356,2.07784e+07,3.00
enron,Online,4,,0.291774,5809356,1.99105e+07,-1.00
enron,CostModel,4,,0.273601,5809356,2.12329e+07,5.00
enron,None,6,,0.271626,5809356,2.13873e+07,0.0
enron,Static,6,,0.283457,5809356,2.04946e+07,-4.00
enron,Eager,6,,0.27755,5809356,2.09309e+07,-2.00
enron,Online,6,,0.272713,5809356,2.13021e+07,0
enron,CostModel,6,,0.290684,5809356,1.99851e+07,-7.00
enron,None,8,,0.290949,5809356,1.99669e+07,0.0
enron,Static,8,,0.284671,5809356,2.04073e+07,3.00
enron,Eager,8,,0.277848,5809356,2.09084e+07,5.00
enron,Online,8,,0.306061,5809356,1.8981e+07,-5.00
enron,CostModel,8,,0.288319,5809356,2.0149e+07,1.00
enron,None,12,,0.281686,5809356,2.06235e+07,0.0
enron,Static,12,,0.275287,5809356,2.11029e+07,3.00
enron,Eager,12,,0.280489,5809356,2.07116e+07,1.00
enron,Online,12,,0.276567,5809356,2.10053e+07,2.00
enron,CostModel,12,,0.297976,5809356,1.9496e+07,-5.00
enron,None,16,,0.26633,5809356,2.18126e+07,0.0
enron,Static,16,,0.283014,5809356,2.05268e+07,-6.00
enron,Eager,16,,0.276345,5809356,2.10221e+07,-3.00
enron,Online,16,,0.273741,5809356,2.12221e+07,-2.00
enron,CostModel,16,,0.2799,5809356,2.07551e+07,-5.00
