Dataset,PatternCategory,QueryFile,QueryVertices,QueryEdges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_Peak_MB,Status,Notes
dblp,query_graph,query_dense_4_1.graph,4,3,1,0.0493972,6.34844,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_1.graph,4,3,2,0.0227905,3.06358,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_1.graph,4,3,4,0.0166675,1.52227,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_2.graph,4,3,1,0.011986,6.21857,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_2.graph,4,3,2,0.0140272,3.14338,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_2.graph,4,3,4,0.0105875,1.52728,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_3.graph,4,5,1,0.010768,3.56113,4764685,0,SUCCESS,
dblp,query_graph,query_dense_4_3.graph,4,5,2,0.0124992,1.75644,4764685,0,SUCCESS,
dblp,query_graph,query_dense_4_3.graph,4,5,4,0.0104744,0.872717,4764685,0,SUCCESS,
dblp,query_graph,query_dense_4_4.graph,4,4,1,0.0118796,5.83311,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_4.graph,4,4,2,0.0169559,3.28055,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_4.graph,4,4,4,0.0115067,1.93777,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_5.graph,4,5,1,0.0174621,3.5686,4764685,0,SUCCESS,
dblp,query_graph,query_dense_4_5.graph,4,5,2,0.0146116,1.75397,4764685,0,SUCCESS,
dblp,query_graph,query_dense_4_5.graph,4,5,4,0.00638108,0.902781,4764685,0,SUCCESS,
dblp,query_graph,query_dense_4_6.graph,4,6,1,0.0201117,1.10137,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_6.graph,4,6,2,0.0104358,0.543379,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_6.graph,4,6,4,0.0114158,0.272579,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_7.graph,4,6,1,0.0112838,1.10548,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_7.graph,4,6,2,0.0125134,0.53976,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_7.graph,4,6,4,0.010796,0.271432,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_8.graph,4,6,1,0.00952825,1.17082,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_8.graph,4,6,2,0.0114154,0.53875,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_8.graph,4,6,4,0.0120986,0.282448,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_9.graph,4,4,1,0.0129532,5.85636,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_9.graph,4,4,2,0.0104411,3.18456,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_9.graph,4,4,4,0.0249037,2.09716,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_10.graph,4,6,1,0.0102438,1.105,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_10.graph,4,6,2,0.0142178,0.610492,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_10.graph,4,6,4,0.0189566,0.274248,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_11.graph,4,4,1,0.0125599,5.85495,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_11.graph,4,4,2,0.0164744,2.90684,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_11.graph,4,4,4,0.011386,1.50866,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_12.graph,4,6,1,0.00856646,1.10818,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_12.graph,4,6,2,0.0159286,0.543135,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_12.graph,4,6,4,0.015843,0.272657,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_13.graph,4,4,1,0.0103094,5.76577,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_13.graph,4,4,2,0.0152796,2.85487,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_13.graph,4,4,4,0.0128443,1.85706,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_14.graph,4,6,1,0.015285,1.09464,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_14.graph,4,6,2,0.0133905,0.540006,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_14.graph,4,6,4,0.0112222,0.273312,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_15.graph,4,6,1,0.0108248,1.1028,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_15.graph,4,6,2,0.0129907,0.601836,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_15.graph,4,6,4,0.0128588,0.2777,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_16.graph,4,4,1,0.0168373,6.20263,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_16.graph,4,4,2,0.0148115,2.87679,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_16.graph,4,4,4,0.0197188,2.78121,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_17.graph,4,3,1,0.0141168,6.82138,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_17.graph,4,3,2,0.0140263,3.04807,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_17.graph,4,3,4,0.0106654,1.76463,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_18.graph,4,6,1,0.0128696,1.10516,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_18.graph,4,6,2,0.0123918,0.562958,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_18.graph,4,6,4,0.0148749,0.273722,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_19.graph,4,6,1,0.0142244,1.13409,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_19.graph,4,6,2,0.0157002,0.535461,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_19.graph,4,6,4,0.0103672,0.461402,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_20.graph,4,5,1,0.0148337,4.26351,4764685,0,SUCCESS,
dblp,query_graph,query_dense_4_20.graph,4,5,2,0.0127767,1.97398,4764685,0,SUCCESS,
dblp,query_graph,query_dense_4_20.graph,4,5,4,0.0168937,0.873085,4764685,0,SUCCESS,
dblp,query_graph,query_dense_4_21.graph,4,6,1,0.0143338,1.29251,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_21.graph,4,6,2,0.0169124,0.867652,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_21.graph,4,6,4,0.0155712,0.891976,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_22.graph,4,6,1,0.011217,1.13201,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_22.graph,4,6,2,0.0123173,0.658287,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_22.graph,4,6,4,0.0133124,0.777638,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_23.graph,4,3,1,0.0163938,7.40196,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_23.graph,4,3,2,0.00981196,4.82161,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_23.graph,4,3,4,0.0114284,2.51435,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_24.graph,4,6,1,0.0156923,1.9014,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_24.graph,4,6,2,0.0146466,0.59235,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_24.graph,4,6,4,0.0134238,0.313074,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_25.graph,4,6,1,0.0124915,1.11688,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_25.graph,4,6,2,0.0114147,0.534823,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_25.graph,4,6,4,0.00975088,0.269201,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_26.graph,4,6,1,0.012364,1.09791,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_26.graph,4,6,2,0.0166534,0.541393,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_26.graph,4,6,4,0.014735,0.276425,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_27.graph,4,6,1,0.0139651,1.10704,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_27.graph,4,6,2,0.0155933,0.541643,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_27.graph,4,6,4,0.0112146,0.279269,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_28.graph,4,3,1,0.0161567,6.21969,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_28.graph,4,3,2,0.0113619,3.06995,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_28.graph,4,3,4,0.0157429,1.53577,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_29.graph,4,4,1,0.011426,5.86824,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_29.graph,4,4,2,0.0100841,2.86784,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_29.graph,4,4,4,0.0165537,1.42894,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_30.graph,4,6,1,0.0147259,1.0954,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_30.graph,4,6,2,0.0164702,0.540605,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_30.graph,4,6,4,0.0162065,0.273545,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_31.graph,4,6,1,0.0107575,1.24478,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_31.graph,4,6,2,0.017078,1.32986,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_31.graph,4,6,4,0.014309,0.300356,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_32.graph,4,4,1,0.0104198,5.74711,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_32.graph,4,4,2,0.0137414,2.92446,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_32.graph,4,4,4,0.0123588,1.4567,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_33.graph,4,3,1,0.00881733,6.14971,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_33.graph,4,3,2,0.0117427,3.31082,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_33.graph,4,3,4,0.0118089,1.57984,252447350,0,SUCCESS,
dblp,query_graph,query_dense_4_34.graph,4,6,1,0.00759479,1.10222,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_34.graph,4,6,2,0.015134,0.540074,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_34.graph,4,6,4,0.0107232,0.283618,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_35.graph,4,4,1,0.00888663,5.79127,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_35.graph,4,4,2,0.0105679,2.85866,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_35.graph,4,4,4,0.012519,1.96582,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_36.graph,4,6,1,0.0108063,1.11148,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_36.graph,4,6,2,0.0146746,0.545443,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_36.graph,4,6,4,0.0167232,0.285762,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_37.graph,4,6,1,0.0180206,1.10428,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_37.graph,4,6,2,0.0105132,0.56703,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_37.graph,4,6,4,0.00925596,0.281335,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_38.graph,4,4,1,0.02167,5.77625,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_38.graph,4,4,2,0.0160685,2.86646,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_38.graph,4,4,4,0.00726354,1.46302,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_39.graph,4,4,1,0.0141251,5.78449,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_39.graph,4,4,2,0.0163214,2.86898,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_39.graph,4,4,4,0.0143241,2.52588,96615211,0,SUCCESS,
dblp,query_graph,query_dense_4_40.graph,4,6,1,0.0170957,1.15282,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_40.graph,4,6,2,0.010887,0.53701,16713192,0,SUCCESS,
dblp,query_graph,query_dense_4_40.graph,4,6,4,0.0116485,0.271844,16713192,0,SUCCESS,
