Dataset,Pruning_Type,Threads,CodeGen_Time,Execution_Time,Result_Count,Throughput,SearchSpace_Reduction
wiki,None,1,,0.398536,4514137,1.13268e+07,0.0
wiki,Static,1,,0.422707,4514137,1.06791e+07,-6.00
wiki,Eager,1,,0.463259,4514137,9.74431e+06,-16.00
wiki,Online,1,,0.485125,4514137,9.30511e+06,-21.00
wiki,CostModel,1,,0.483098,4514137,9.34415e+06,-21.00
wiki,None,2,,0.55511,4514137,8.13196e+06,0.0
wiki,Static,2,,0.863917,4514137,5.2252e+06,-55.00
wiki,Eager,2,,0.456038,4514137,9.8986e+06,18.00
wiki,Online,2,,0.455418,4514137,9.91208e+06,18.00
wiki,CostModel,2,,0.436035,4514137,1.03527e+07,22.00
wiki,None,4,,0.430743,4514137,1.04799e+07,0.0
wiki,Static,4,,0.440662,4514137,1.0244e+07,-2.00
wiki,Eager,4,,0.468283,4514137,9.63977e+06,-8.00
wiki,Online,4,,0.433494,4514137,1.04134e+07,0
wiki,CostModel,4,,0.443345,4514137,1.0182e+07,-2.00
wiki,None,6,,0.43699,4514137,1.03301e+07,0.0
wiki,Static,6,,0.421132,4514137,1.07191e+07,4.00
wiki,Eager,6,,0.441778,4514137,1.02181e+07,-1.00
wiki,Online,6,,0.429509,4514137,1.051e+07,2.00
wiki,CostModel,6,,0.430768,4514137,1.04793e+07,2.00
wiki,None,8,,0.429966,4514137,1.04988e+07,0.0
wiki,Static,8,,0.429186,4514137,1.05179e+07,1.00
wiki,Eager,8,,0.429694,4514137,1.05055e+07,1.00
wiki,Online,8,,0.429668,4514137,1.05061e+07,1.00
wiki,CostModel,8,,0.423247,4514137,1.06655e+07,2.00
wiki,None,12,,0.454384,4514137,9.93464e+06,0.0
wiki,Static,12,,0.439114,4514137,1.02801e+07,4.00
wiki,Eager,12,,0.429738,4514137,1.05044e+07,6.00
wiki,Online,12,,0.439702,4514137,1.02663e+07,4.00
wiki,CostModel,12,,0.425779,4514137,1.06021e+07,7.00
wiki,None,16,,0.420809,4514137,1.07273e+07,0.0
wiki,Static,16,,0.438701,4514137,1.02898e+07,-4.00
wiki,Eager,16,,0.420446,4514137,1.07366e+07,1.00
wiki,Online,16,,0.452108,4514137,9.98463e+06,-7.00
wiki,CostModel,16,,0.504359,4514137,8.95025e+06,-19.00
enron,None,1,,0.647466,5809356,8.97245e+06,0.0
enron,Static,1,,0.555253,5809356,1.04625e+07,15.00
enron,Eager,1,,0.568288,5809356,1.02226e+07,13.00
enron,Online,1,,0.609124,5809356,9.53723e+06,6.00
enron,CostModel,1,,0.561965,5809356,1.03376e+07,14.00
enron,None,2,,0.547557,5809356,1.06096e+07,0.0
enron,Static,2,,0.537426,5809356,1.08096e+07,2.00
enron,Eager,2,,0.540822,5809356,1.07417e+07,2.00
enron,Online,2,,0.540545,5809356,1.07472e+07,2.00
enron,CostModel,2,,0.53025,5809356,1.09559e+07,4.00
enron,None,4,,0.555366,5809356,1.04604e+07,0.0
enron,Static,4,,0.537875,5809356,1.08006e+07,4.00
enron,Eager,4,,0.538567,5809356,1.07867e+07,4.00
enron,Online,4,,0.531937,5809356,1.09211e+07,5.00
enron,CostModel,4,,0.524158,5809356,1.10832e+07,6.00
enron,None,6,,0.552251,5809356,1.05194e+07,0.0
enron,Static,6,,0.541093,5809356,1.07363e+07,3.00
enron,Eager,6,,0.617096,5809356,9.41402e+06,-11.00
enron,Online,6,,1.21053,5809356,4.79901e+06,-119.00
enron,CostModel,6,,0.810026,5809356,7.17182e+06,-46.00
enron,None,8,,0.669531,5809356,8.67676e+06,0.0
enron,Static,8,,1.88742,5809356,3.07794e+06,-181.00
enron,Eager,8,,1.00294,5809356,5.79231e+06,-49.00
enron,Online,8,,0.697336,5809356,8.33078e+06,-4.00
enron,CostModel,8,,0.788433,5809356,7.36823e+06,-17.00
enron,None,12,,0.599685,5809356,9.68734e+06,0.0
enron,Static,12,,0.637127,5809356,9.11805e+06,-6.00
enron,Eager,12,,0.739526,5809356,7.85551e+06,-23.00
enron,Online,12,,0.68096,5809356,8.53112e+06,-13.00
enron,CostModel,12,,0.905725,5809356,6.41404e+06,-51.00
enron,None,16,,0.677567,5809356,8.57384e+06,0.0
enron,Static,16,,0.654398,5809356,8.87741e+06,4.00
enron,Eager,16,,0.549012,5809356,1.05815e+07,19.00
enron,Online,16,,0.536889,5809356,1.08204e+07,21.00
enron,CostModel,16,,0.55465,5809356,1.04739e+07,19.00
