Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency,Baseline_s,Notes
youtube,4M_nodes_34.7M_edges,triangle,3,1,0.146166,1.29268,3056386,2.36437e+06,52832.0,1.000,100.00,1.29268,baseline
youtube,4M_nodes_34.7M_edges,triangle,3,2,0.045935,0.688934,3056386,4.4364e+06,52928.0,1.8763,93.800,1.29268,calculated
youtube,4M_nodes_34.7M_edges,triangle,3,4,0.0507922,0.356476,3056386,8.5739e+06,53008.0,3.6262,90.600,1.29268,calculated
youtube,4M_nodes_34.7M_edges,triangle,3,8,0.0275157,0.217194,3056386,1.40722e+07,53072.0,5.9517,74.300,1.29268,calculated
youtube,4M_nodes_34.7M_edges,triangle,3,16,0.0277141,0.487968,3056386,6.2635e+06,53360.0,2.6491,16.500,1.29268,calculated
