Dataset,Pattern_Type,Pattern_Name,Vertices,Edges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_MB,Speedup,Efficiency,Status,Notes
dblp,GraphMini_Original,P1,4,N/A,1,0.0163595,0.601924,16713192,19.5,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P1,4,N/A,4,0.016285,0.173565,16713192,19.8,3.46,86.5,SUCCESS,Original pattern
dblp,GraphMini_Original,P1,4,N/A,16,0.0161644,0.066833,16713192,20.0,9.00,56.2,SUCCESS,Original pattern
dblp,GraphMini_Original,P1,4,N/A,32,0.016852,0.0501933,16713192,20.4,11.99,37.4,SUCCESS,Original pattern
dblp,GraphMini_Original,P1,4,N/A,64,0.0168963,0.044428,16713192,21.0,13.54,21.1,SUCCESS,Original pattern
dblp,GraphMini_Original,P2,5,N/A,1,0.0166255,4.05595,11466097,19.5,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P2,5,N/A,4,0.0165984,1.15483,11466097,19.6,3.51,87.7,SUCCESS,Original pattern
dblp,GraphMini_Original,P2,5,N/A,16,0.016562,0.304378,11466097,20.0,13.32,83.2,SUCCESS,Original pattern
dblp,GraphMini_Original,P2,5,N/A,32,0.016004,0.165814,11466097,20.4,24.46,76.4,SUCCESS,Original pattern
dblp,GraphMini_Original,P2,5,N/A,64,0.0165996,0.143516,11466097,21.2,28.26,44.1,SUCCESS,Original pattern
dblp,GraphMini_Original,P3,5,N/A,1,0.0168988,21.605,93821341,19.7,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P3,5,N/A,4,0.015721,5.79078,93821341,19.8,3.73,93.2,SUCCESS,Original pattern
dblp,GraphMini_Original,P3,5,N/A,16,0.0163485,1.59934,93821341,20.1,13.50,84.3,SUCCESS,Original pattern
dblp,GraphMini_Original,P3,5,N/A,32,0.0160067,0.906605,93821341,20.6,23.83,74.4,SUCCESS,Original pattern
dblp,GraphMini_Original,P3,5,N/A,64,0.0167476,0.789084,93821341,21.5,27.37,42.7,SUCCESS,Original pattern
dblp,GraphMini_Original,P4,5,N/A,1,0.0165593,4.51176,262663639,19.6,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P4,5,N/A,4,0.0163494,1.22896,262663639,19.9,3.67,91.7,SUCCESS,Original pattern
dblp,GraphMini_Original,P4,5,N/A,16,0.0164184,0.340542,262663639,20.0,13.24,82.7,SUCCESS,Original pattern
dblp,GraphMini_Original,P4,5,N/A,32,0.0155678,0.2122,262663639,20.4,21.26,66.4,SUCCESS,Original pattern
dblp,GraphMini_Original,P4,5,N/A,64,0.01584,0.213758,262663639,21.1,21.10,32.9,SUCCESS,Original pattern
dblp,GraphMini_Original,P5,6,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_EXEC,Execution timeout (120s)
dblp,GraphMini_Original,P5,6,N/A,4,0.016937,38.7985,89217432,19.8,N/A,N/A,SUCCESS,Original pattern
dblp,GraphMini_Original,P5,6,N/A,16,0.0161469,9.94517,89217432,20.3,N/A,N/A,SUCCESS,Original pattern
dblp,GraphMini_Original,P5,6,N/A,32,0.0152099,5.2141,89217432,20.9,N/A,N/A,SUCCESS,Original pattern
dblp,GraphMini_Original,P5,6,N/A,64,0.0163348,4.36553,89217432,22.2,N/A,N/A,SUCCESS,Original pattern
dblp,GraphMini_Original,P6,6,N/A,1,0.0156891,5.61087,24076173,19.6,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P6,6,N/A,4,0.0163684,1.50197,24076173,19.8,3.73,93.2,SUCCESS,Original pattern
dblp,GraphMini_Original,P6,6,N/A,16,0.016934,0.415228,24076173,20.5,13.51,84.4,SUCCESS,Original pattern
dblp,GraphMini_Original,P6,6,N/A,32,0.0165812,0.230491,24076173,21.5,24.34,76.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P6,6,N/A,64,0.0156807,0.176906,24076173,23.8,31.71,49.5,SUCCESS,Original pattern
dblp,GraphMini_Original,P7,6,N/A,1,0.0168635,69.0046,30817361,19.7,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P7,6,N/A,4,0.0158214,18.0044,30817361,19.9,3.83,95.7,SUCCESS,Original pattern
dblp,GraphMini_Original,P7,6,N/A,16,0.0162158,4.68794,30817361,20.6,14.71,91.9,SUCCESS,Original pattern
dblp,GraphMini_Original,P7,6,N/A,32,0.0157474,2.42363,30817361,21.7,28.47,88.9,SUCCESS,Original pattern
dblp,GraphMini_Original,P7,6,N/A,64,0.0170148,2.11773,30817361,23.6,32.58,50.9,SUCCESS,Original pattern
dblp,GraphMini_Original,P8,7,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_EXEC,Execution timeout (30s)
dblp,GraphMini_Original,P8,7,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_EXEC,Execution timeout (30s)
dblp,GraphMini_Original,P8,7,N/A,16,N/A,N/A,N/A,N/A,N/A,N/A,SKIPPED,Pattern too large for 16 threads
dblp,GraphMini_Original,P8,7,N/A,32,N/A,N/A,N/A,N/A,N/A,N/A,SKIPPED,Pattern too large for 32 threads
dblp,GraphMini_Original,P8,7,N/A,64,N/A,N/A,N/A,N/A,N/A,N/A,SKIPPED,Pattern too large for 64 threads
dblp,Your_Patterns,small_dense_4v_1,4,4,1,0.0162101,5.04579,96615211,19.6,1.00,100.0,SUCCESS,Your pattern worked!
dblp,Your_Patterns,small_dense_4v_1,4,4,4,0.016424,1.34235,96615211,19.8,3.75,93.7,SUCCESS,Your pattern worked!
dblp,Your_Patterns,small_dense_4v_1,4,4,16,0.01583,0.381004,96615211,20.1,13.24,82.7,SUCCESS,Your pattern worked!
dblp,Your_Patterns,small_dense_4v_1,4,4,32,0.0162213,0.206896,96615211,20.3,24.38,76.1,SUCCESS,Your pattern worked!
dblp,Your_Patterns,small_dense_4v_1,4,4,64,0.0163937,0.151443,96615211,21.4,33.31,52.0,SUCCESS,Your pattern worked!
dblp,Your_Patterns,small_sparse_4v_1,4,3,1,0.0158538,5.03635,252447350,19.7,1.00,100.0,SUCCESS,Your pattern worked!
dblp,Your_Patterns,small_sparse_4v_1,4,3,4,0.0165057,1.35145,252447350,19.8,3.72,93.0,SUCCESS,Your pattern worked!
dblp,Your_Patterns,small_sparse_4v_1,4,3,16,0.0171341,0.370277,252447350,20.1,13.60,85.0,SUCCESS,Your pattern worked!
dblp,Your_Patterns,small_sparse_4v_1,4,3,32,0.0165321,0.198301,252447350,20.5,25.39,79.3,SUCCESS,Your pattern worked!
dblp,Your_Patterns,small_sparse_4v_1,4,3,64,0.0168554,0.144703,252447350,21.6,34.80,54.3,SUCCESS,Your pattern worked!
dblp,Your_Patterns,small_dense_8v_1,8,9,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
dblp,Your_Patterns,small_dense_8v_1,8,9,4,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
dblp,Your_Patterns,small_dense_8v_1,8,9,16,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
dblp,Your_Patterns,small_dense_8v_1,8,9,32,N/A,N/A,N/A,N/A,N/A,N/A,SKIPPED,Pattern too large for 32 threads
dblp,Your_Patterns,small_dense_8v_1,8,9,64,N/A,N/A,N/A,N/A,N/A,N/A,SKIPPED,Pattern too large for 64 threads
dblp,Your_Patterns,small_sparse_8v_1,8,15,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_CODEGEN,Code generation timeout
