Dataset,Pruning_Type,Threads,CodeGen_Time,Execution_Time,Result_Count,Throughput,SearchSpace_Reduction
wiki,None,1,,0.357509,4514137,1.26267e+07,0.0
wiki,Static,1,,0.355146,4514137,1.27107e+07,1.00
wiki,Eager,1,,0.370115,4514137,1.21966e+07,-3.00
wiki,Online,1,,0.392624,4514137,1.14974e+07,-9.00
wiki,CostModel,1,,0.35806,4514137,1.26072e+07,0
wiki,None,2,,0.386096,4514137,1.16917e+07,0.0
wiki,Static,2,,0.357947,4514137,1.26112e+07,8.00
wiki,Eager,2,,0.379244,4514137,1.1903e+07,2.00
wiki,Online,2,,0.353903,4514137,1.27553e+07,9.00
wiki,CostModel,2,,0.35265,4514137,1.28006e+07,9.00
wiki,None,4,,0.385889,4514137,1.1698e+07,0.0
wiki,Static,4,,0.385501,4514137,1.17098e+07,1.00
wiki,Eager,4,,0.384427,4514137,1.17425e+07,1.00
wiki,Online,4,,0.381881,4514137,1.18208e+07,2.00
wiki,CostModel,4,,0.363723,4514137,1.24109e+07,6.00
wiki,None,6,,0.357002,4514137,1.26446e+07,0.0
wiki,Static,6,,0.400691,4514137,1.12659e+07,-12.00
wiki,Eager,6,,0.388992,4514137,1.16047e+07,-8.00
wiki,Online,6,,0.373732,4514137,1.20785e+07,-4.00
wiki,CostModel,6,,0.355532,4514137,1.26968e+07,1.00
wiki,None,8,,0.355336,4514137,1.27038e+07,0.0
wiki,Static,8,,0.377915,4514137,1.19449e+07,-6.00
wiki,Eager,8,,0.349272,4514137,1.29244e+07,2.00
wiki,Online,8,,0.377804,4514137,1.19484e+07,-6.00
wiki,CostModel,8,,0.367724,4514137,1.22759e+07,-3.00
wiki,None,12,,0.363693,4514137,1.2412e+07,0.0
wiki,Static,12,,0.356952,4514137,1.26463e+07,2.00
wiki,Eager,12,,0.357338,4514137,1.26327e+07,2.00
wiki,Online,12,,0.361646,4514137,1.24822e+07,1.00
wiki,CostModel,12,,0.358042,4514137,1.26078e+07,2.00
wiki,None,16,,0.354382,4514137,1.2738e+07,0.0
wiki,Static,16,,0.36009,4514137,1.25361e+07,-1.00
wiki,Eager,16,,0.366707,4514137,1.23099e+07,-3.00
wiki,Online,16,,0.405924,4514137,1.11206e+07,-14.00
wiki,CostModel,16,,0.400765,4514137,1.12638e+07,-13.00
enron,None,1,,0.528993,5809356,1.09819e+07,0.0
enron,Static,1,,0.511587,5809356,1.13556e+07,4.00
enron,Eager,1,,0.528796,5809356,1.0986e+07,1.00
enron,Online,1,,0.519752,5809356,1.11772e+07,2.00
enron,CostModel,1,,0.593807,5809356,9.78324e+06,-12.00
enron,None,2,,0.52276,5809356,1.11129e+07,0.0
enron,Static,2,,0.522193,5809356,1.11249e+07,1.00
enron,Eager,2,,0.543142,5809356,1.06958e+07,-3.00
enron,Online,2,,0.517738,5809356,1.12207e+07,1.00
enron,CostModel,2,,0.512161,5809356,1.13428e+07,3.00
enron,None,4,,0.543307,5809356,1.06926e+07,0.0
enron,Static,4,,0.631796,5809356,9.19498e+06,-16.00
enron,Eager,4,,0.713905,5809356,8.13744e+06,-31.00
enron,Online,4,,0.677482,5809356,8.57492e+06,-24.00
enron,CostModel,4,,0.599511,5809356,9.69015e+06,-10.00
enron,None,6,,0.571342,5809356,1.01679e+07,0.0
enron,Static,6,,0.545701,5809356,1.06457e+07,5.00
enron,Eager,6,,0.539639,5809356,1.07653e+07,6.00
enron,Online,6,,0.571939,5809356,1.01573e+07,0
enron,CostModel,6,,0.556419,5809356,1.04406e+07,3.00
enron,None,8,,0.552765,5809356,1.05096e+07,0.0
enron,Static,8,,0.595634,5809356,9.75323e+06,-7.00
enron,Eager,8,,0.68519,5809356,8.47846e+06,-23.00
enron,Online,8,,0.713547,5809356,8.14152e+06,-29.00
enron,CostModel,8,,0.673393,5809356,8.62699e+06,-21.00
enron,None,12,,0.666055,5809356,8.72204e+06,0.0
enron,Static,12,,0.65605,5809356,8.85505e+06,2.00
enron,Eager,12,,0.585761,5809356,9.91763e+06,13.00
enron,Online,12,,0.596204,5809356,9.7439e+06,11.00
enron,CostModel,12,,0.996615,5809356,5.82909e+06,-49.00
enron,None,16,,1.33749,5809356,4.34346e+06,0.0
enron,Static,16,,0.964677,5809356,6.02207e+06,28.00
enron,Eager,16,,0.863857,5809356,6.7249e+06,36.00
enron,Online,16,,1.01002,5809356,5.75173e+06,25.00
enron,CostModel,16,,0.751447,5809356,7.73089e+06,44.00
