Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency,Baseline_s,Notes
youtube,4M_nodes_34.7M_edges,triangle,3,1,0.163972,1.30258,3056386,2.34641e+06,52768.0,1.000,100.00,1.30258,baseline
youtube,4M_nodes_34.7M_edges,triangle,3,2,0.046873,0.655745,3056386,4.66093e+06,52864.0,1.9864,99.300,1.30258,calculated
youtube,4M_nodes_34.7M_edges,triangle,3,4,0.0469271,0.339297,3056386,9.00799e+06,53008.0,3.8390,95.900,1.30258,calculated
youtube,4M_nodes_34.7M_edges,triangle,3,8,0.0275121,0.283071,3056386,1.07973e+07,53104.0,4.6016,57.500,1.30258,calculated
youtube,4M_nodes_34.7M_edges,triangle,3,16,0.0240713,0.275389,3056386,1.10984e+07,53264.0,4.7299,29.500,1.30258,calculated
youtube,4M_nodes_34.7M_edges,4cycle,4,1,0.0316716,34.2282,14960895,,61360.0,1.000,100.00,34.2282,baseline
youtube,4M_nodes_34.7M_edges,4cycle,4,2,0.181116,19.1544,14960895,,61504.0,1.7869,89.300,34.2282,calculated
youtube,4M_nodes_34.7M_edges,4cycle,4,4,0.131704,13.4089,14960895,1.11574e+06,61904.0,2.5526,63.800,34.2282,calculated
youtube,4M_nodes_34.7M_edges,4cycle,4,8,0.149265,8.69758,14960895,1.72012e+06,62512.0,3.9353,49.100,34.2282,calculated
youtube,4M_nodes_34.7M_edges,4cycle,4,16,0.148462,7.66942,14960895,1.95072e+06,71728.0,4.4629,27.800,34.2282,calculated
youtube,4M_nodes_34.7M_edges,4clique,4,1,0.0533095,4.19878,4986965,1.18772e+06,53072.0,1.000,100.00,4.19878,baseline
youtube,4M_nodes_34.7M_edges,4clique,4,2,0.0419137,2.00447,4986965,2.48792e+06,53232.0,2.0947,104.700,4.19878,calculated
youtube,4M_nodes_34.7M_edges,4clique,4,4,0.0406281,1.02305,4986965,4.87462e+06,53344.0,4.1041,102.600,4.19878,calculated
youtube,4M_nodes_34.7M_edges,4clique,4,8,0.0475215,0.722183,4986965,6.9054e+06,53456.0,5.8140,72.600,4.19878,calculated
