Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency,Baseline_s,Notes
wiki,7K_nodes_100K_edges,triangle,3,1,0.00333725,0.304979,4514137,1.48015e+07,5968.0,1.000,100.00,0.304979,baseline
wiki,7K_nodes_100K_edges,triangle,3,2,0.00053575,0.198757,4514137,2.27118e+07,5728.0,1.5344,76.700,0.304979,calculated
wiki,7K_nodes_100K_edges,triangle,3,4,0.000559542,0.199276,4514137,2.26527e+07,5936.0,1.5304,38.200,0.304979,calculated
wiki,7K_nodes_100K_edges,triangle,3,8,0.000534833,0.192434,4514137,2.34581e+07,6000.0,1.5848,19.800,0.304979,calculated
wiki,7K_nodes_100K_edges,triangle,3,16,0.0005395,0.190289,4514137,2.37225e+07,6000.0,1.6027,10.000,0.304979,calculated
wiki,7K_nodes_100K_edges,4path,4,1,0.000528292,0.195449,4514137,2.30963e+07,6016.0,1.000,100.00,0.195449,baseline
wiki,7K_nodes_100K_edges,4path,4,2,0.000531333,0.194581,4514137,2.31992e+07,5920.0,1.0044,50.200,0.195449,calculated
wiki,7K_nodes_100K_edges,4path,4,4,0.000532292,0.190589,4514137,2.36852e+07,5904.0,1.0254,25.600,0.195449,calculated
wiki,7K_nodes_100K_edges,4path,4,8,0.00053325,0.191514,4514137,2.35708e+07,5824.0,1.0205,12.700,0.195449,calculated
wiki,7K_nodes_100K_edges,4path,4,16,0.000628584,0.307128,4514137,1.46979e+07,5984.0,.6363,3.900,0.195449,calculated
wiki,7K_nodes_100K_edges,4cycle,4,1,0.000587042,0.203891,4514137,2.214e+07,6016.0,1.000,100.00,0.203891,baseline
wiki,7K_nodes_100K_edges,4cycle,4,2,0.000520333,0.231453,4514137,1.95034e+07,6016.0,.8809,44.000,0.203891,calculated
wiki,7K_nodes_100K_edges,4cycle,4,4,0.000574792,0.295934,4514137,1.52539e+07,6064.0,.6889,17.200,0.203891,calculated
wiki,7K_nodes_100K_edges,4cycle,4,8,0.000546917,0.522036,4514137,8.64717e+06,5952.0,.3905,4.800,0.203891,calculated
wiki,7K_nodes_100K_edges,4cycle,4,16,0.000538375,0.224552,4514137,2.01029e+07,5968.0,.9079,5.600,0.203891,calculated
wiki,7K_nodes_100K_edges,4star,4,1,0.00348908,1.47729,4514137,3.05568e+06,5920.0,1.000,100.00,1.47729,baseline
wiki,7K_nodes_100K_edges,4star,4,2,0.00121371,1.00406,4514137,4.49587e+06,5936.0,1.4713,73.500,1.47729,calculated
wiki,7K_nodes_100K_edges,4star,4,4,0.000542042,0.3799,4514137,1.18824e+07,6064.0,3.8886,97.200,1.47729,calculated
wiki,7K_nodes_100K_edges,4star,4,8,0.000531375,0.213585,4514137,2.11351e+07,5872.0,6.9166,86.400,1.47729,calculated
wiki,7K_nodes_100K_edges,4star,4,16,0.000671833,0.296539,4514137,1.52227e+07,6000.0,4.9817,31.100,1.47729,calculated
wiki,7K_nodes_100K_edges,4clique,4,1,0.000541292,0.200871,4514137,2.24728e+07,6048.0,1.000,100.00,0.200871,baseline
wiki,7K_nodes_100K_edges,4clique,4,2,0.000537875,0.195874,4514137,2.30462e+07,6048.0,1.0255,51.200,0.200871,calculated
wiki,7K_nodes_100K_edges,4clique,4,4,0.000557542,0.197578,4514137,2.28473e+07,6032.0,1.0166,25.400,0.200871,calculated
wiki,7K_nodes_100K_edges,4clique,4,8,0.000543416,0.190109,4514137,2.3745e+07,6000.0,1.0566,13.200,0.200871,calculated
wiki,7K_nodes_100K_edges,4clique,4,16,0.000547584,0.194826,4514137,2.31701e+07,5904.0,1.0310,6.400,0.200871,calculated
wiki,7K_nodes_100K_edges,5clique,5,1,0.000528958,0.202017,4514137,2.23453e+07,5872.0,1.000,100.00,0.202017,baseline
wiki,7K_nodes_100K_edges,5clique,5,2,0.000519541,0.194435,4514137,2.32167e+07,6000.0,1.0389,51.900,0.202017,calculated
wiki,7K_nodes_100K_edges,5clique,5,4,0.000535167,0.189564,4514137,2.38133e+07,6048.0,1.0656,26.600,0.202017,calculated
wiki,7K_nodes_100K_edges,5clique,5,8,0.000551166,0.198785,4514137,2.27086e+07,6064.0,1.0162,12.700,0.202017,calculated
wiki,7K_nodes_100K_edges,5clique,5,16,0.000529,0.201571,4514137,2.23947e+07,6032.0,1.0022,6.200,0.202017,calculated
wiki,7K_nodes_100K_edges,house,4,1,0.000530792,0.201042,4514137,2.24537e+07,5984.0,1.000,100.00,0.201042,baseline
wiki,7K_nodes_100K_edges,house,4,2,0.000534708,0.201957,4514137,2.2352e+07,6048.0,.9954,49.700,0.201042,calculated
wiki,7K_nodes_100K_edges,house,4,4,0.000525375,0.207319,4514137,2.17738e+07,6000.0,.9697,24.200,0.201042,calculated
wiki,7K_nodes_100K_edges,house,4,8,0.000545416,0.19899,4514137,2.26852e+07,6032.0,1.0103,12.600,0.201042,calculated
wiki,7K_nodes_100K_edges,house,4,16,0.000573417,0.21827,4514137,2.06814e+07,6032.0,.9210,5.700,0.201042,calculated
wiki,7K_nodes_100K_edges,diamond,4,1,0.000569334,0.207792,4514137,2.17243e+07,5952.0,1.000,100.00,0.207792,baseline
wiki,7K_nodes_100K_edges,diamond,4,2,0.000584,0.199198,4514137,2.26616e+07,6016.0,1.0431,52.100,0.207792,calculated
wiki,7K_nodes_100K_edges,diamond,4,4,0.000570542,0.20159,4514137,2.23927e+07,5968.0,1.0307,25.700,0.207792,calculated
wiki,7K_nodes_100K_edges,diamond,4,8,0.000526292,0.200054,4514137,2.25645e+07,6016.0,1.0386,12.900,0.207792,calculated
wiki,7K_nodes_100K_edges,diamond,4,16,0.000532208,0.199712,4514137,2.26032e+07,5888.0,1.0404,6.500,0.207792,calculated
enron,37K_nodes_184K_edges,triangle,3,1,0.00629696,0.193085,5809356,3.0087e+07,6480.0,1.000,100.00,0.193085,baseline
enron,37K_nodes_184K_edges,triangle,3,2,0.00103733,0.190394,5809356,3.05123e+07,6608.0,1.0141,50.700,0.193085,calculated
