Dataset,Pruning_Type,Threads,CodeGen_Time,Execution_Time,Result_Count,Throughput,SearchSpace_Reduction
wiki,None,1,,0.228158,4514137,1.97851e+07,0.0
wiki,Static,1,,0.216368,4514137,2.08633e+07,6.00
wiki,Eager,1,,0.246518,4514137,1.83116e+07,-8.00
wiki,Online,1,,0.285858,4514137,1.57915e+07,-25.00
wiki,CostModel,1,,0.290426,4514137,1.55432e+07,-27.00
wiki,None,2,,0.288869,4514137,1.56269e+07,0.0
wiki,Static,2,,0.391104,4514137,1.1542e+07,-35.00
wiki,Eager,2,,0.425202,4514137,1.06164e+07,-47.00
wiki,Online,2,,0.463497,4514137,9.7393e+06,-60.00
wiki,CostModel,2,,0.481533,4514137,9.37451e+06,-66.00
wiki,None,4,,0.486991,4514137,9.26945e+06,0.0
wiki,Static,4,,0.395088,4514137,1.14256e+07,19.00
wiki,Eager,4,,0.43084,4514137,1.04775e+07,12.00
wiki,Online,4,,0.468039,4514137,9.64478e+06,4.00
wiki,CostModel,4,,0.323727,4514137,1.39443e+07,34.00
wiki,None,6,,0.29994,4514137,1.50501e+07,0.0
wiki,Static,6,,0.286876,4514137,1.57355e+07,5.00
wiki,Eager,6,,0.288031,4514137,1.56724e+07,4.00
wiki,Online,6,,0.316712,4514137,1.42531e+07,-5.00
wiki,CostModel,6,,0.290891,4514137,1.55183e+07,4.00
wiki,None,8,,0.296672,4514137,1.52159e+07,0.0
wiki,Static,8,,0.315021,4514137,1.43297e+07,-6.00
wiki,Eager,8,,0.323348,4514137,1.39606e+07,-8.00
wiki,Online,8,,0.285828,4514137,1.57932e+07,4.00
wiki,CostModel,8,,0.33035,4514137,1.36647e+07,-11.00
wiki,None,12,,0.320744,4514137,1.4074e+07,0.0
wiki,Static,12,,0.29932,4514137,1.50813e+07,7.00
wiki,Eager,12,,0.280523,4514137,1.60919e+07,13.00
wiki,Online,12,,0.278914,4514137,1.61847e+07,14.00
wiki,CostModel,12,,0.276447,4514137,1.63291e+07,14.00
wiki,None,16,,0.269881,4514137,1.67264e+07,0.0
wiki,Static,16,,0.278503,4514137,1.62086e+07,-3.00
wiki,Eager,16,,0.27137,4514137,1.66346e+07,0
wiki,Online,16,,0.27872,4514137,1.6196e+07,-3.00
wiki,CostModel,16,,0.270544,4514137,1.66854e+07,0
enron,None,1,,0.203501,5809356,2.8547e+07,0.0
enron,Static,1,,0.281243,5809356,2.0656e+07,-38.00
enron,Eager,1,,0.259399,5809356,2.23955e+07,-27.00
enron,Online,1,,0.264939,5809356,2.19272e+07,-30.00
enron,CostModel,1,,0.252216,5809356,2.30332e+07,-23.00
enron,None,2,,0.250525,5809356,2.31888e+07,0.0
enron,Static,2,,0.268211,5809356,2.16597e+07,-7.00
enron,Eager,2,,0.269097,5809356,2.15883e+07,-7.00
enron,Online,2,,0.303947,5809356,1.9113e+07,-21.00
enron,CostModel,2,,0.301394,5809356,1.92749e+07,-20.00
enron,None,4,,0.30965,5809356,1.8761e+07,0.0
enron,Static,4,,0.439434,5809356,1.32201e+07,-41.00
enron,Eager,4,,0.411702,5809356,1.41106e+07,-32.00
enron,Online,4,,0.327711,5809356,1.77271e+07,-5.00
enron,CostModel,4,,0.357383,5809356,1.62553e+07,-15.00
enron,None,6,,0.3423,5809356,1.69715e+07,0.0
enron,Static,6,,0.341824,5809356,1.69952e+07,1.00
enron,Eager,6,,0.318304,5809356,1.82509e+07,8.00
enron,Online,6,,0.323354,5809356,1.7966e+07,6.00
enron,CostModel,6,,0.287288,5809356,2.02214e+07,17.00
enron,None,8,,0.275536,5809356,2.10838e+07,0.0
enron,Static,8,,0.253132,5809356,2.29499e+07,9.00
enron,Eager,8,,0.266616,5809356,2.17892e+07,4.00
enron,Online,8,,0.275303,5809356,2.11017e+07,1.00
enron,CostModel,8,,0.271197,5809356,2.14212e+07,2.00
enron,None,12,,0.256497,5809356,2.26489e+07,0.0
enron,Static,12,,0.265451,5809356,2.18848e+07,-3.00
enron,Eager,12,,0.269752,5809356,2.15359e+07,-5.00
enron,Online,12,,0.255158,5809356,2.27677e+07,1.00
enron,CostModel,12,,0.258092,5809356,2.25089e+07,0
enron,None,16,,0.261634,5809356,2.22041e+07,0.0
enron,Static,16,,0.274066,5809356,2.1197e+07,-4.00
enron,Eager,16,,0.265473,5809356,2.18831e+07,-1.00
enron,Online,16,,0.260308,5809356,2.23173e+07,1.00
enron,CostModel,16,,0.266731,5809356,2.17798e+07,-1.00
