Dataset,Graph_Size,Pattern,Pattern_Size,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Throughput,Memory_Peak_MB,Speedup,Efficiency,Baseline_s,Notes
wiki,7K_nodes_100K_edges,triangle,3,1,0.00352958,0.252836,4514137,1.7854e+07,5968.0,1.000,100.00,0.252836,baseline
wiki,7K_nodes_100K_edges,triangle,3,2,0.000526583,0.192448,4514137,2.34563e+07,5904.0,1.3137,65.600,0.252836,calculated
wiki,7K_nodes_100K_edges,triangle,3,4,0.000541792,0.196404,4514137,2.2984e+07,6000.0,1.2873,32.100,0.252836,calculated
wiki,7K_nodes_100K_edges,triangle,3,8,0.000536459,0.19496,4514137,2.31542e+07,5904.0,1.2968,16.200,0.252836,calculated
wiki,7K_nodes_100K_edges,triangle,3,16,0.000542458,0.211155,4514137,2.13783e+07,5984.0,1.1973,7.400,0.252836,calculated
wiki,7K_nodes_100K_edges,4path,4,1,0.000584833,0.199594,4514137,2.26167e+07,5952.0,1.000,100.00,0.199594,baseline
wiki,7K_nodes_100K_edges,4path,4,2,0.000635125,0.179434,4514137,2.51577e+07,5984.0,1.1123,55.600,0.199594,calculated
wiki,7K_nodes_100K_edges,4path,4,4,0.000562792,0.171579,4514137,2.63094e+07,5968.0,1.1632,29.000,0.199594,calculated
wiki,7K_nodes_100K_edges,4path,4,8,0.000525083,0.172695,4514137,2.61394e+07,6048.0,1.1557,14.400,0.199594,calculated
wiki,7K_nodes_100K_edges,4path,4,16,0.000541084,0.162244,4514137,2.78232e+07,6112.0,1.2302,7.600,0.199594,calculated
wiki,7K_nodes_100K_edges,4cycle,4,1,0.000547458,0.168395,4514137,2.68068e+07,5968.0,1.000,100.00,0.168395,baseline
wiki,7K_nodes_100K_edges,4cycle,4,2,0.000540375,0.161944,4514137,2.78747e+07,5968.0,1.0398,51.900,0.168395,calculated
wiki,7K_nodes_100K_edges,4cycle,4,4,0.000539792,0.175744,4514137,2.56858e+07,6128.0,.9581,23.900,0.168395,calculated
wiki,7K_nodes_100K_edges,4cycle,4,8,0.000634416,0.163319,4514137,2.764e+07,6032.0,1.0310,12.800,0.168395,calculated
wiki,7K_nodes_100K_edges,4cycle,4,16,0.000543083,0.162134,4514137,2.7842e+07,5984.0,1.0386,6.400,0.168395,calculated
wiki,7K_nodes_100K_edges,4star,4,1,0.000537959,0.170993,4514137,2.63995e+07,6000.0,1.000,100.00,0.170993,baseline
wiki,7K_nodes_100K_edges,4star,4,2,0.000550917,0.172673,4514137,2.61427e+07,6048.0,.9902,49.500,0.170993,calculated
wiki,7K_nodes_100K_edges,4star,4,4,0.000537041,0.163007,4514137,2.76929e+07,6048.0,1.0489,26.200,0.170993,calculated
wiki,7K_nodes_100K_edges,4star,4,8,0.000604291,0.165179,4514137,2.73288e+07,6064.0,1.0351,12.900,0.170993,calculated
wiki,7K_nodes_100K_edges,4star,4,16,0.000757042,0.213199,4514137,2.11734e+07,6128.0,.8020,5.000,0.170993,calculated
wiki,7K_nodes_100K_edges,4clique,4,1,0.000563792,0.189343,4514137,2.38411e+07,5920.0,1.000,100.00,0.189343,baseline
wiki,7K_nodes_100K_edges,4clique,4,2,0.00054925,0.20352,4514137,2.21803e+07,6096.0,.9303,46.500,0.189343,calculated
wiki,7K_nodes_100K_edges,4clique,4,4,0.000552375,0.19449,4514137,2.32102e+07,5808.0,.9735,24.300,0.189343,calculated
wiki,7K_nodes_100K_edges,4clique,4,8,0.000519709,0.197636,4514137,2.28407e+07,5872.0,.9580,11.900,0.189343,calculated
wiki,7K_nodes_100K_edges,4clique,4,16,0.000549083,0.477557,4514137,9.45257e+06,5984.0,.3964,2.400,0.189343,calculated
wiki,7K_nodes_100K_edges,5clique,5,1,0.000541917,0.215128,4514137,2.09835e+07,5888.0,1.000,100.00,0.215128,baseline
wiki,7K_nodes_100K_edges,5clique,5,2,0.000534,0.222185,4514137,2.0317e+07,5984.0,.9682,48.400,0.215128,calculated
wiki,7K_nodes_100K_edges,5clique,5,4,0.00171912,1.07203,4514137,4.21084e+06,5920.0,.2006,5.000,0.215128,calculated
wiki,7K_nodes_100K_edges,5clique,5,8,0.0008565,0.502869,4514137,8.97677e+06,6048.0,.4278,5.300,0.215128,calculated
wiki,7K_nodes_100K_edges,5clique,5,16,0.000538125,0.416665,4514137,1.0834e+07,5984.0,.5163,3.200,0.215128,calculated
wiki,7K_nodes_100K_edges,house,4,1,0.00145796,0.506809,4514137,8.90698e+06,5920.0,1.000,100.00,0.506809,baseline
wiki,7K_nodes_100K_edges,house,4,2,0.001035,0.397244,4514137,1.13637e+07,5984.0,1.2758,63.700,0.506809,calculated
wiki,7K_nodes_100K_edges,house,4,4,0.000988125,0.412044,4514137,1.09555e+07,5904.0,1.2299,30.700,0.506809,calculated
wiki,7K_nodes_100K_edges,house,4,8,0.000870583,0.411117,4514137,1.09802e+07,6032.0,1.2327,15.400,0.506809,calculated
wiki,7K_nodes_100K_edges,house,4,16,0.000864917,0.407599,4514137,1.10749e+07,6080.0,1.2434,7.700,0.506809,calculated
wiki,7K_nodes_100K_edges,diamond,4,1,0.000986542,0.426579,4514137,1.05822e+07,6000.0,1.000,100.00,0.426579,baseline
wiki,7K_nodes_100K_edges,diamond,4,2,0.000938917,0.31492,4514137,1.43342e+07,6032.0,1.3545,67.700,0.426579,calculated
wiki,7K_nodes_100K_edges,diamond,4,4,0.00111092,0.355979,4514137,1.26809e+07,5952.0,1.1983,29.900,0.426579,calculated
