Dataset,Pattern_Type,Pattern_Name,Vertices,Edges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_MB,Speedup,Efficiency,Status,Notes
dblp,GraphMini_Original,P1,4,N/A,1,0.0191096,0.608172,16713192,19.8,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P1,4,N/A,4,0.0186828,0.182612,16713192,19.6,3.33,83.2,SUCCESS,Original pattern
dblp,GraphMini_Original,P1,4,N/A,16,0.0188835,0.0848023,16713192,19.9,7.17,44.8,SUCCESS,Original pattern
dblp,GraphMini_Original,P1,4,N/A,32,0.0187362,0.0675779,16713192,20.3,8.99,28.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P1,4,N/A,64,0.0197473,0.0526586,16713192,21.0,11.54,18.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P2,5,N/A,1,0.0187135,4.01066,11466097,19.5,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P2,5,N/A,4,0.0191128,1.14562,11466097,19.8,3.50,87.5,SUCCESS,Original pattern
dblp,GraphMini_Original,P2,5,N/A,16,0.01848,0.301508,11466097,20.2,13.30,83.1,SUCCESS,Original pattern
dblp,GraphMini_Original,P2,5,N/A,32,0.0192289,0.175503,11466097,20.4,22.85,71.4,SUCCESS,Original pattern
dblp,GraphMini_Original,P2,5,N/A,64,0.0190851,0.145058,11466097,21.2,27.64,43.1,SUCCESS,Original pattern
dblp,GraphMini_Original,P3,5,N/A,1,0.0196984,21.4727,93821341,19.7,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P3,5,N/A,4,0.0193745,5.58248,93821341,19.9,3.84,96.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P3,5,N/A,16,0.0183627,1.5944,93821341,20.1,13.46,84.1,SUCCESS,Original pattern
dblp,GraphMini_Original,P3,5,N/A,32,0.0184662,0.905325,93821341,20.7,23.71,74.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P3,5,N/A,64,0.0180901,0.743577,93821341,21.5,28.87,45.1,SUCCESS,Original pattern
dblp,GraphMini_Original,P4,5,N/A,1,0.0194431,4.48774,262663639,19.6,1.00,100.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P4,5,N/A,4,0.0187922,1.21927,262663639,19.8,3.68,92.0,SUCCESS,Original pattern
dblp,GraphMini_Original,P4,5,N/A,16,0.0189038,0.341065,262663639,20.0,13.15,82.1,SUCCESS,Original pattern
dblp,GraphMini_Original,P4,5,N/A,32,0.0173292,0.212993,262663639,20.4,21.06,65.8,SUCCESS,Original pattern
dblp,GraphMini_Original,P4,5,N/A,64,0.0195264,0.196427,262663639,21.1,22.84,35.6,SUCCESS,Original pattern
dblp,GraphMini_Original,P5,6,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,TIMEOUT_EXEC,Execution timeout (120s)
dblp,GraphMini_Original,P5,6,N/A,4,0.0196591,38.6456,89217432,19.8,N/A,N/A,SUCCESS,Original pattern
dblp,GraphMini_Original,P5,6,N/A,16,0.0188354,9.98295,89217432,20.1,N/A,N/A,SUCCESS,Original pattern
dblp,GraphMini_Original,P5,6,N/A,32,0.0174601,5.15047,89217432,21.0,N/A,N/A,SUCCESS,Original pattern
dblp,GraphMini_Original,P5,6,N/A,64,0.0161987,4.30109,89217432,22.1,N/A,N/A,SUCCESS,Original pattern
dblp,GraphMini_Original,P6,6,N/A,1,0.0162707,5.61244,24076173,19.6,1.00,100.0,SUCCESS,Original pattern
