Dataset,Pruning_Type,Threads,CodeGen_Time,Execution_Time,Result_Count,Throughput,SearchSpace_Reduction
wiki,None,1,,0.0183028,608389,3.32402e+07,0.0
wiki,Static,1,,0.017678,608389,3.4415e+07,4.00
wiki,Eager,1,,0.0188308,608389,3.23083e+07,-2.00
wiki,Online,1,,0.0204238,608389,2.97882e+07,-11.00
wiki,CostModel,1,,0.0197431,608389,3.08152e+07,-7.00
wiki,None,2,,0.0172761,608389,3.52156e+07,0.0
wiki,Static,2,,0.0176065,608389,3.45548e+07,-1.00
wiki,Eager,2,,0.0187524,608389,3.24432e+07,-8.00
wiki,Online,2,,0.018549,608389,3.27989e+07,-7.00
wiki,CostModel,2,,0.0187698,608389,3.24131e+07,-8.00
wiki,None,4,,0.0172783,608389,3.52111e+07,0.0
wiki,Static,4,,0.0201095,608389,3.02539e+07,-16.00
wiki,Eager,4,,0.0214597,608389,2.83502e+07,-24.00
wiki,Online,4,,0.0229788,608389,2.64761e+07,-32.00
wiki,CostModel,4,,0.0228445,608389,2.66317e+07,-32.00
wiki,None,6,,0.0237777,608389,2.55865e+07,0.0
wiki,Static,6,,0.0348797,608389,1.74425e+07,-46.00
wiki,Eager,6,,0.029315,608389,2.07535e+07,-23.00
wiki,Online,6,,0.0301487,608389,2.01796e+07,-26.00
wiki,CostModel,6,,0.0334129,608389,1.82082e+07,-40.00
wiki,None,8,,0.0343645,608389,1.7704e+07,0.0
wiki,Static,8,,0.0389388,608389,1.56242e+07,-13.00
wiki,Eager,8,,0.0371461,608389,1.63783e+07,-8.00
wiki,Online,8,,0.0438219,608389,1.38832e+07,-27.00
wiki,CostModel,8,,0.0417785,608389,1.45623e+07,-21.00
wiki,None,12,,0.0339789,608389,1.79049e+07,0.0
wiki,Static,12,,0.0319688,608389,1.90307e+07,6.00
wiki,Eager,12,,0.0279923,608389,2.17341e+07,18.00
wiki,Online,12,,0.0302955,608389,2.00818e+07,11.00
wiki,CostModel,12,,0.0298227,608389,2.04002e+07,13.00
wiki,None,16,,0.0316006,608389,1.92524e+07,0.0
wiki,Static,16,,0.0293695,608389,2.0715e+07,8.00
wiki,Eager,16,,0.032876,608389,1.85056e+07,-4.00
wiki,Online,16,,0.0279993,608389,2.17287e+07,12.00
wiki,CostModel,16,,0.0255315,608389,2.38289e+07,20.00
enron,None,1,,0.0243341,727044,2.98775e+07,0.0
enron,Static,1,,0.0224511,727044,3.23834e+07,8.00
enron,Eager,1,,0.0232222,727044,3.13082e+07,5.00
enron,Online,1,,0.027821,727044,2.61329e+07,-14.00
enron,CostModel,1,,0.0488368,727044,1.48872e+07,-100.00
enron,None,2,,0.0431129,727044,1.68637e+07,0.0
enron,Static,2,,0.0352302,727044,2.06369e+07,19.00
enron,Eager,2,,0.0473027,727044,1.537e+07,-9.00
enron,Online,2,,0.0455188,727044,1.59724e+07,-5.00
enron,CostModel,2,,0.0426075,727044,1.70638e+07,2.00
enron,None,4,,0.035572,727044,2.04387e+07,0.0
enron,Static,4,,0.0297632,727044,2.44276e+07,17.00
enron,Eager,4,,0.0389801,727044,1.86517e+07,-9.00
enron,Online,4,,0.03585,727044,2.02802e+07,0
enron,CostModel,4,,0.0622807,727044,1.16737e+07,-75.00
enron,None,6,,0.0409074,727044,1.77729e+07,0.0
enron,Static,6,,0.0381058,727044,1.90796e+07,7.00
enron,Eager,6,,0.0403669,727044,1.80109e+07,2.00
enron,Online,6,,0.0281339,727044,2.58423e+07,32.00
enron,CostModel,6,,0.0301277,727044,2.4132e+07,27.00
enron,None,8,,0.0272797,727044,2.66515e+07,0.0
enron,Static,8,,0.0268323,727044,2.70959e+07,2.00
enron,Eager,8,,0.0264013,727044,2.75382e+07,4.00
enron,Online,8,,0.0263313,727044,2.76114e+07,4.00
enron,CostModel,8,,0.0267244,727044,2.72052e+07,3.00
enron,None,12,,0.0275389,727044,2.64006e+07,0.0
enron,Static,12,,0.0272224,727044,2.67075e+07,2.00
enron,Eager,12,,0.0292854,727044,2.48261e+07,-6.00
enron,Online,12,,0.0285029,727044,2.55077e+07,-3.00
enron,CostModel,12,,0.0300691,727044,2.41791e+07,-9.00
enron,None,16,,0.0365317,727044,1.99017e+07,0.0
enron,Static,16,,0.0293842,727044,2.47427e+07,20.00
enron,Eager,16,,0.0399736,727044,1.81881e+07,-9.00
enron,Online,16,,0.0343541,727044,2.11632e+07,6.00
enron,CostModel,16,,0.0299679,727044,2.42607e+07,18.00
