Dataset,Pruning_Type,Threads,CodeGen_Time,Execution_Time,Result_Count,Throughput,SearchSpace_Reduction
wiki,None,1,,0.214296,4514137,2.10649e+07,0.0
wiki,Static,1,,0.216573,4514137,2.08435e+07,-1.00
wiki,Eager,1,,0.210938,4514137,2.14003e+07,2.00
wiki,Online,1,,0.234961,4514137,1.92123e+07,-9.00
wiki,CostModel,1,,0.233724,4514137,1.9314e+07,-9.00
wiki,None,2,,0.272263,4514137,1.65801e+07,0.0
wiki,Static,2,,0.283348,4514137,1.59314e+07,-4.00
wiki,Eager,2,,0.275417,4514137,1.63902e+07,-1.00
wiki,Online,2,,0.281725,4514137,1.60232e+07,-3.00
wiki,CostModel,2,,0.283778,4514137,1.59073e+07,-4.00
wiki,None,4,,0.280787,4514137,1.60767e+07,0.0
wiki,Static,4,,0.273925,4514137,1.64795e+07,3.00
wiki,Eager,4,,0.354169,4514137,1.27457e+07,-26.00
wiki,Online,4,,0.43457,4514137,1.03876e+07,-54.00
wiki,CostModel,4,,0.473138,4514137,9.54085e+06,-68.00
wiki,None,6,,0.408297,4514137,1.1056e+07,0.0
wiki,Static,6,,0.445177,4514137,1.01401e+07,-9.00
wiki,Eager,6,,0.476208,4514137,9.47934e+06,-16.00
wiki,Online,6,,0.387524,4514137,1.16487e+07,6.00
wiki,CostModel,6,,0.383599,4514137,1.17678e+07,7.00
wiki,None,8,,0.459281,4514137,9.8287e+06,0.0
wiki,Static,8,,0.44289,4514137,1.01925e+07,4.00
wiki,Eager,8,,0.428366,4514137,1.0538e+07,7.00
wiki,Online,8,,0.514888,4514137,8.76721e+06,-12.00
wiki,CostModel,8,,0.367391,4514137,1.2287e+07,21.00
wiki,None,12,,0.421965,4514137,1.06979e+07,0.0
wiki,Static,12,,0.348398,4514137,1.29568e+07,18.00
wiki,Eager,12,,0.342367,4514137,1.31851e+07,19.00
wiki,Online,12,,0.337298,4514137,1.33832e+07,21.00
wiki,CostModel,12,,0.354485,4514137,1.27343e+07,16.00
wiki,None,16,,0.322429,4514137,1.40004e+07,0.0
wiki,Static,16,,0.346396,4514137,1.30317e+07,-7.00
wiki,Eager,16,,0.343647,4514137,1.3136e+07,-6.00
wiki,Online,16,,0.333314,4514137,1.35432e+07,-3.00
wiki,CostModel,16,,0.331258,4514137,1.36273e+07,-2.00
enron,None,1,,0.283195,5809356,2.05136e+07,0.0
enron,Static,1,,0.331362,5809356,1.75318e+07,-17.00
enron,Eager,1,,0.310813,5809356,1.86909e+07,-9.00
enron,Online,1,,0.307358,5809356,1.8901e+07,-8.00
enron,CostModel,1,,0.332628,5809356,1.7465e+07,-17.00
enron,None,2,,0.307007,5809356,1.89226e+07,0.0
enron,Static,2,,0.302167,5809356,1.92256e+07,2.00
enron,Eager,2,,0.322351,5809356,1.80218e+07,-4.00
enron,Online,2,,0.304588,5809356,1.90728e+07,1.00
enron,CostModel,2,,0.298166,5809356,1.94836e+07,3.00
enron,None,4,,0.30989,5809356,1.87465e+07,0.0
enron,Static,4,,0.307991,5809356,1.88621e+07,1.00
enron,Eager,4,,0.318045,5809356,1.82658e+07,-2.00
enron,Online,4,,0.317121,5809356,1.83191e+07,-2.00
enron,CostModel,4,,0.307749,5809356,1.88769e+07,1.00
enron,None,6,,0.298091,5809356,1.94885e+07,0.0
enron,Static,6,,0.350447,5809356,1.6577e+07,-17.00
enron,Eager,6,,0.320892,5809356,1.81038e+07,-7.00
enron,Online,6,,0.307277,5809356,1.89059e+07,-3.00
enron,CostModel,6,,0.333346,5809356,1.74274e+07,-11.00
enron,None,8,,0.297994,5809356,1.94949e+07,0.0
enron,Static,8,,0.32132,5809356,1.80797e+07,-7.00
enron,Eager,8,,0.311303,5809356,1.86614e+07,-4.00
enron,Online,8,,0.329944,5809356,1.76071e+07,-10.00
enron,CostModel,8,,0.329246,5809356,1.76444e+07,-10.00
enron,None,12,,0.337913,5809356,1.71919e+07,0.0
enron,Static,12,,0.325881,5809356,1.78266e+07,4.00
enron,Eager,12,,0.323978,5809356,1.79314e+07,5.00
enron,Online,12,,0.309281,5809356,1.87834e+07,9.00
enron,CostModel,12,,0.31545,5809356,1.84161e+07,7.00
enron,None,16,,0.324581,5809356,1.7898e+07,0.0
enron,Static,16,,0.302119,5809356,1.92287e+07,7.00
enron,Eager,16,,0.31189,5809356,1.86263e+07,4.00
enron,Online,16,,0.336207,5809356,1.72791e+07,-3.00
enron,CostModel,16,,0.297837,5809356,1.95052e+07,9.00
