Dataset,PatternCategory,QueryFile,QueryVertices,QueryEdges,Threads,LoadTime_s,ExecutionTime_s,Result_Count,Memory_Peak_MB,Status,Notes
dblp,small_dense_4,query_dense_4_1.graph,4,3,1,0.0583907,6.39331,252447350,18592.0,SUCCESS,
dblp,small_dense_4,query_dense_4_1.graph,4,3,2,0.0156083,3.07069,252447350,18928.0,SUCCESS,
dblp,small_dense_4,query_dense_4_1.graph,4,3,4,0.00823033,1.64169,252447350,18816.0,SUCCESS,
dblp,small_dense_4,query_dense_4_2.graph,4,3,1,0.0231279,6.36268,252447350,18688.0,SUCCESS,
dblp,small_dense_4,query_dense_4_2.graph,4,3,2,0.0155222,3.08129,252447350,18768.0,SUCCESS,
dblp,small_dense_4,query_dense_4_2.graph,4,3,4,0.0128433,1.57199,252447350,18864.0,SUCCESS,
dblp,small_dense_4,query_dense_4_3.graph,4,5,1,0.014357,3.55828,4764685,18896.0,SUCCESS,
dblp,small_dense_4,query_dense_4_3.graph,4,5,2,0.0106403,1.75239,4764685,18976.0,SUCCESS,
dblp,small_dense_4,query_dense_4_3.graph,4,5,4,0.0151079,0.931036,4764685,19632.0,SUCCESS,
dblp,small_dense_4,query_dense_4_4.graph,4,4,1,0.0216664,5.78649,96615211,18976.0,SUCCESS,
dblp,small_dense_4,query_dense_4_4.graph,4,4,2,0.0139747,2.94712,96615211,19280.0,SUCCESS,
dblp,small_dense_4,query_dense_4_4.graph,4,4,4,0.017652,1.98995,96615211,20128.0,SUCCESS,
dblp,small_dense_4,query_dense_4_5.graph,4,5,1,0.011935,3.55981,4764685,19008.0,SUCCESS,
dblp,small_dense_4,query_dense_4_5.graph,4,5,2,0.0147059,1.75584,4764685,18976.0,SUCCESS,
dblp,small_dense_4,query_dense_4_5.graph,4,5,4,0.0148545,0.892293,4764685,19472.0,SUCCESS,
dblp,small_dense_4,query_dense_4_6.graph,4,6,1,0.0128409,1.11832,16713192,18752.0,SUCCESS,
dblp,small_dense_4,query_dense_4_6.graph,4,6,2,0.0150873,0.543275,16713192,18736.0,SUCCESS,
dblp,small_dense_4,query_dense_4_6.graph,4,6,4,0.0187429,0.276892,16713192,19248.0,SUCCESS,
dblp,small_dense_4,query_dense_4_7.graph,4,6,1,0.0143899,1.19694,16713192,18784.0,SUCCESS,
dblp,small_dense_4,query_dense_4_7.graph,4,6,2,0.00863962,0.540679,16713192,18784.0,SUCCESS,
dblp,small_dense_4,query_dense_4_7.graph,4,6,4,0.00918675,0.314006,16713192,19184.0,SUCCESS,
dblp,small_dense_4,query_dense_4_8.graph,4,6,1,0.0161962,1.21118,16713192,18736.0,SUCCESS,
dblp,small_dense_4,query_dense_4_8.graph,4,6,2,0.010693,0.542575,16713192,18864.0,SUCCESS,
dblp,small_dense_4,query_dense_4_8.graph,4,6,4,0.012119,0.278796,16713192,19152.0,SUCCESS,
dblp,small_dense_4,query_dense_4_9.graph,4,4,1,0.0130407,5.87871,96615211,18896.0,SUCCESS,
dblp,small_dense_4,query_dense_4_9.graph,4,4,2,0.0134105,2.91019,96615211,19376.0,SUCCESS,
dblp,small_dense_4,query_dense_4_9.graph,4,4,4,0.0145247,1.98404,96615211,19952.0,SUCCESS,
dblp,small_dense_4,query_dense_4_10.graph,4,6,1,0.0105387,1.1844,16713192,18720.0,SUCCESS,
dblp,small_dense_4,query_dense_4_10.graph,4,6,2,0.0141846,0.541064,16713192,18800.0,SUCCESS,
