Dataset,Pruning_Type,Threads,CodeGen_Time,Execution_Time,Result_Count,Throughput,SearchSpace_Reduction
wiki,None,1,,0.0192547,608389,3.15969e+07,0.0
wiki,Static,1,,0.0175237,608389,3.47181e+07,9.00
wiki,Eager,1,,0.0177698,608389,3.42373e+07,8.00
wiki,Online,1,,0.0167236,608389,3.63791e+07,14.00
wiki,CostModel,1,,0.0200439,608389,3.03528e+07,-4.00
wiki,None,2,,0.0193872,608389,3.13809e+07,0.0
wiki,Static,2,,0.0198692,608389,3.06198e+07,-2.00
wiki,Eager,2,,0.0202508,608389,3.00427e+07,-4.00
wiki,Online,2,,0.0207877,608389,2.92668e+07,-7.00
wiki,CostModel,2,,0.0221504,608389,2.74663e+07,-14.00
wiki,None,4,,0.0205152,608389,2.96555e+07,0.0
wiki,Static,4,,0.0237815,608389,2.55825e+07,-15.00
wiki,Eager,4,,0.02128,608389,2.85897e+07,-3.00
wiki,Online,4,,0.022637,608389,2.68759e+07,-10.00
wiki,CostModel,4,,0.0237942,608389,2.55687e+07,-15.00
wiki,None,6,,0.0244378,608389,2.48954e+07,0.0
wiki,Static,6,,0.0242502,608389,2.5088e+07,1.00
wiki,Eager,6,,0.0205434,608389,2.96148e+07,16.00
wiki,Online,6,,0.0258215,608389,2.35613e+07,-5.00
wiki,CostModel,6,,0.0240162,608389,2.53325e+07,2.00
wiki,None,8,,0.0232568,608389,2.61596e+07,0.0
wiki,Static,8,,0.0221177,608389,2.75069e+07,5.00
wiki,Eager,8,,0.024527,608389,2.48049e+07,-5.00
wiki,Online,8,,0.0213874,608389,2.84461e+07,9.00
wiki,CostModel,8,,0.0237422,608389,2.56248e+07,-2.00
wiki,None,12,,0.0652289,608389,9.32698e+06,0.0
wiki,Static,12,,0.0299863,608389,2.02889e+07,55.00
wiki,Eager,12,,0.0268831,608389,2.26309e+07,59.00
wiki,Online,12,,0.0224634,608389,2.70835e+07,66.00
wiki,CostModel,12,,0.0220959,608389,2.75341e+07,67.00
wiki,None,16,,0.0242853,608389,2.50517e+07,0.0
wiki,Static,16,,0.0241463,608389,2.5196e+07,1.00
wiki,Eager,16,,0.0243706,608389,2.4964e+07,0
wiki,Online,16,,0.0259582,608389,2.34373e+07,-6.00
wiki,CostModel,16,,0.0238943,608389,2.54616e+07,2.00
enron,None,1,,0.0212299,727044,3.42462e+07,0.0
enron,Static,1,,0.0215555,727044,3.37289e+07,-1.00
enron,Eager,1,,0.0212652,727044,3.41894e+07,0
enron,Online,1,,0.0216056,727044,3.36507e+07,-1.00
enron,CostModel,1,,0.0199654,727044,3.64152e+07,6.00
enron,None,2,,0.0219113,727044,3.31812e+07,0.0
enron,Static,2,,0.0213115,727044,3.41152e+07,3.00
enron,Eager,2,,0.0209541,727044,3.4697e+07,5.00
enron,Online,2,,0.0195975,727044,3.70989e+07,11.00
enron,CostModel,2,,0.0189646,727044,3.83369e+07,14.00
enron,None,4,,0.0190929,727044,3.80793e+07,0.0
enron,Static,4,,0.0205816,727044,3.53249e+07,-7.00
enron,Eager,4,,0.0206162,727044,3.52657e+07,-7.00
enron,Online,4,,0.0220275,727044,3.30062e+07,-15.00
enron,CostModel,4,,0.0187357,727044,3.88053e+07,2.00
enron,None,6,,0.02015,727044,3.60815e+07,0.0
enron,Static,6,,0.0208774,727044,3.48245e+07,-3.00
enron,Eager,6,,0.020148,727044,3.60852e+07,1.00
enron,Online,6,,0.020353,727044,3.57216e+07,-1.00
enron,CostModel,6,,0.0199147,727044,3.6508e+07,2.00
enron,None,8,,0.0173547,727044,4.18931e+07,0.0
enron,Static,8,,0.0176997,727044,4.10767e+07,-1.00
enron,Eager,8,,0.0194501,727044,3.73799e+07,-12.00
enron,Online,8,,0.0206353,727044,3.52331e+07,-18.00
enron,CostModel,8,,0.02092,727044,3.47536e+07,-20.00
enron,None,12,,0.020385,727044,3.56657e+07,0.0
enron,Static,12,,0.0201025,727044,3.61669e+07,2.00
enron,Eager,12,,0.0205849,727044,3.53193e+07,0
enron,Online,12,,0.0205898,727044,3.5311e+07,-1.00
enron,CostModel,12,,0.0201718,727044,3.60426e+07,2.00
enron,None,16,,0.0196867,727044,3.69308e+07,0.0
enron,Static,16,,0.0193371,727044,3.75984e+07,2.00
enron,Eager,16,,0.0213265,727044,3.40911e+07,-8.00
enron,Online,16,,0.0195801,727044,3.71317e+07,1.00
enron,CostModel,16,,0.0204364,727044,3.55759e+07,-3.00
